Ref,SampleID,Site name,DEPTH,AGE,AP (%),Pollen data source,Group
1,1,Lake Tulane,2267,-34,75.37473233,Neotoma,NNeo
1,2,Lake Tulane,2269,-7,78.47222222,Neotoma,NNeo
1,3,Lake Tulane,2271,20,71.65697674,Neotoma,NNeo
1,4,Lake Tulane,2273,48,69.52191235,Neotoma,NNeo
1,5,Lake Tulane,2275,75,69.01893287,Neotoma,NNeo
1,6,Lake Tulane,2279,130,70.46070461,Neotoma,NNeo
1,7,Lake Tulane,2283,185,76.00502513,Neotoma,NNeo
1,8,Lake Tulane,2287,241,78.66894198,Neotoma,NNeo
1,9,Lake Tulane,2291,297,89.38223938,Neotoma,NNeo
1,10,Lake Tulane,2295,353,89.49640288,Neotoma,NNeo
1,11,Lake Tulane,2299,409,91.48580968,Neotoma,NNeo
1,12,Lake Tulane,2303,465,90.51987768,Neotoma,NNeo
1,13,Lake Tulane,2307,522,88.0455408,Neotoma,NNeo
1,14,Lake Tulane,2311,579,88.20895522,Neotoma,NNeo
1,15,Lake Tulane,2315,636,88.90449438,Neotoma,NNeo
1,16,Lake Tulane,2320,708,87.15953307,Neotoma,NNeo
1,17,Lake Tulane,2330,853,91.11969112,Neotoma,NNeo
1,18,Lake Tulane,2340,999,89.3115942,Neotoma,NNeo
1,19,Lake Tulane,2360,1297,88.49104859,Neotoma,NNeo
1,20,Lake Tulane,2380,1601,89.1184573,Neotoma,NNeo
1,21,Lake Tulane,2402,1943,89.80686695,Neotoma,NNeo
1,22,Lake Tulane,2422,2260,84.92935636,Neotoma,NNeo
1,23,Lake Tulane,2442,2583,86.44338118,Neotoma,NNeo
1,24,Lake Tulane,2462,2912,85.34482759,Neotoma,NNeo
1,25,Lake Tulane,2482,3248,82.50460405,Neotoma,NNeo
1,26,Lake Tulane,2503,3608,75.96153846,Neotoma,NNeo
1,27,Lake Tulane,2512,3764,81.9295559,Neotoma,NNeo
1,28,Lake Tulane,2522,3939,75.86649551,Neotoma,NNeo
1,29,Lake Tulane,2532,4115,75.84269663,Neotoma,NNeo
1,30,Lake Tulane,2542,4293,77.73019272,Neotoma,NNeo
1,31,Lake Tulane,2552,4473,79.19463087,Neotoma,NNeo
1,32,Lake Tulane,2562,4654,68.59060403,Neotoma,NNeo
1,33,Lake Tulane,2572,4837,82.46628131,Neotoma,NNeo
1,34,Lake Tulane,2582,5021,81.7989418,Neotoma,NNeo
1,35,Lake Tulane,2591,5188,73.35907336,Neotoma,NNeo
1,36,Lake Tulane,2602,5394,75.76736672,Neotoma,NNeo
1,37,Lake Tulane,2612,5583,73.48754448,Neotoma,NNeo
1,38,Lake Tulane,2622,5774,69.00510204,Neotoma,NNeo
1,39,Lake Tulane,2632,5966,69.43820225,Neotoma,NNeo
1,40,Lake Tulane,2642,6160,64.89583333,Neotoma,NNeo
1,41,Lake Tulane,2652,6355,63.15789474,Neotoma,NNeo
1,42,Lake Tulane,2662,6552,64.07914764,Neotoma,NNeo
1,43,Lake Tulane,2672,6750,68.27309237,Neotoma,NNeo
1,44,Lake Tulane,2682,6950,70.82601054,Neotoma,NNeo
1,45,Lake Tulane,2691,7132,67.0235546,Neotoma,NNeo
1,46,Lake Tulane,2702,7355,68.14744802,Neotoma,NNeo
1,47,Lake Tulane,2712,7560,66.66666667,Neotoma,NNeo
1,48,Lake Tulane,2722,7766,67.48046875,Neotoma,NNeo
1,49,Lake Tulane,2732,7974,68.31345826,Neotoma,NNeo
1,50,Lake Tulane,2742,8183,66.93914623,Neotoma,NNeo
1,51,Lake Tulane,2752,8394,65.49450549,Neotoma,NNeo
1,52,Lake Tulane,2762,8606,68.55895197,Neotoma,NNeo
1,53,Lake Tulane,2772,8820,65.28028933,Neotoma,NNeo
1,54,Lake Tulane,2782,9036,71.18437118,Neotoma,NNeo
1,55,Lake Tulane,2792,9253,70.33398821,Neotoma,NNeo
1,56,Lake Tulane,2798,9384,78.50971922,Neotoma,NNeo
1,57,Lake Tulane,2802,9472,78.51637765,Neotoma,NNeo
1,58,Lake Tulane,2812,9692,73.82113821,Neotoma,NNeo
1,59,Lake Tulane,2822,9914,74.82517483,Neotoma,NNeo
1,60,Lake Tulane,2832,10137,75.73964497,Neotoma,NNeo
1,61,Lake Tulane,2842,10362,64.90280778,Neotoma,NNeo
1,62,Lake Tulane,2852,10589,69.93006993,Neotoma,NNeo
1,63,Lake Tulane,2862,10817,62.15213358,Neotoma,NNeo
1,64,Lake Tulane,2872,11046,66.42335766,Neotoma,NNeo
1,65,Lake Tulane,2882,11278,66.00221484,Neotoma,NNeo
1,66,Lake Tulane,2892,11510,64.12639405,Neotoma,NNeo
1,67,Lake Tulane,2902,11745,56.77233429,Neotoma,NNeo
1,68,Lake Tulane,2912,11981,56.4516129,Neotoma,NNeo
1,69,Lake Tulane,2922,12218,59.11504425,Neotoma,NNeo
1,70,Lake Tulane,2932,12457,65.20210896,Neotoma,NNeo
1,71,Lake Tulane,2942,12698,67.5304878,Neotoma,NNeo
1,72,Lake Tulane,2952,12940,56.53153153,Neotoma,NNeo
1,73,Lake Tulane,2962,13184,68.8085676,Neotoma,NNeo
1,74,Lake Tulane,2972,13429,70.7948244,Neotoma,NNeo
1,75,Lake Tulane,2982,13676,79.13769124,Neotoma,NNeo
1,76,Lake Tulane,2992,13924,74.0234375,Neotoma,NNeo
1,77,Lake Tulane,3002,14174,80.10335917,Neotoma,NNeo
1,78,Lake Tulane,3012,14426,87.2935197,Neotoma,NNeo
1,79,Lake Tulane,3022,14679,88.80157171,Neotoma,NNeo
1,80,Lake Tulane,3025,14755,88.82575758,Neotoma,NNeo
1,81,Lake Tulane,3044,15241,85.56231003,Neotoma,NNeo
1,82,Lake Tulane,3051,15422,87.16931217,Neotoma,NNeo
1,83,Lake Tulane,3062,15707,73.58490566,Neotoma,NNeo
1,84,Lake Tulane,3072,15968,41.03585657,Neotoma,NNeo
1,85,Lake Tulane,3082,16230,50.39787798,Neotoma,NNeo
1,86,Lake Tulane,3092,16494,42.52873563,Neotoma,NNeo
1,87,Lake Tulane,3102,16760,48.58974359,Neotoma,NNeo
1,88,Lake Tulane,3112,17027,50.55555556,Neotoma,NNeo
1,89,Lake Tulane,3122,17296,55.5089192,Neotoma,NNeo
1,90,Lake Tulane,3132,17566,60.7198748,Neotoma,NNeo
