"Depth","Age","Influx"
"0.02","54","0.200501253"
"0.1","453","0.146788991"
"0.18","889","0.464891041"
"0.26","1302","0.234965035"
"0.34","2017","0.205263158"
"0.4","2777","1.945945946"
"0.48","2851","0.045996593"
"0.54","5199","0.038007486"
"0.6","8672","0.112676056"
"0.68","9453","0.166915052"
"0.76","10124","0.39800995"
"0.84","10526","0.322147651"
"0.92","10675","6.647887324"
"1","10817","7.140495868"
"1.08","10938","6.682634731"
"1.2","11105","3.636363636"
"1.28","11270","0.543209877"
"1.32","11351","0.000435215"
"1.39","43519","0.115942029"
"1.47","44071","0.197938144"
"1.55","44556","0.034707158"
"1.63","45017","0.315789474"
"1.69","45378","0.410714286"
"1.77","45826","0.192982456"
"1.83","46168","0.086206897"
"1.87","46400","0.090909091"
"1.97","47170","0.13655761"
"2.05","47873","0.175438596"
"2.13","48557","0.035805627"
"2.27","49730","0.047169811"
"2.37","50578","18.27218935"
"2.47","51423","2.775628627"
"2.57","52457","0.534678436"
"2.65","53250","0.084606345"
"2.73","54101","0.068376068"
"2.81","54920","0.047114252"
"2.89","55769","0"
"2.97","56659","0"
