Depth,Age,Influx
0,0,0.023094225
0.01,20.05,0
0.02,40.09,0
0.03,60.14,0
0.04,80.19,0
0.05,100.23,0
0.06,120.28,0
0.07,140.33,0
0.08,160.37,0
0.09,180.42,0
0.1,200.47,0
0.11,220.51,0
0.12,240.56,0
0.13,260.6,0
0.14,280.65,0
0.15,300.7,0
0.16,320.74,0
0.17,340.79,0
0.18,360.84,0
0.19,380.88,0
0.2,400.93,0
0.21,420.98,0
0.22,441.02,0
0.23,461.07,0
0.24,481.12,0
0.25,501.16,0
0.26,521.21,0
0.27,541.26,0
0.28,561.3,0
0.29,581.35,0
0.3,601.4,0
0.31,621.44,0.017950222
0.32,641.49,0.038907479
0.33,661.53,0.020649357
0.34,681.58,0.651777419
0.35,701.63,0.065608978
0.36,721.67,0
0.37,741.72,1.073331378
0.38,761.77,0.699160502
0.39,781.81,0.032057112
0.4,801.86,0.10537382
0.41,821.91,0.244310399
0.42,841.95,0.14360178
0.43,862,0.001829167
0.44,1097.83,0.002963957
0.45,1333.67,0.008969988
0.46,1569.5,0.012627907
0.47,1805.33,0.005530918
0.48,2041.17,0.003535697
0.49,2277,0.001515772
0.5,2507,0.008757033
0.51,2737,0.02092321
0.52,2806.54,0.043708798
0.53,2876.08,0.022393657
0.54,2945.62,0.022480069
0.55,3015.15,0.007958461
0.56,3084.69,0.008842421
0.57,3154.23,0.017906185
0.58,3223.77,0.022471197
0.59,3293.31,0.034168514
0.6,3362.85,0.04454841
0.61,3432.38,0.012406458
0.62,3501.92,0.011976462
0.63,3571.46,0.02381758
0.64,3641,0.010424244
0.65,3710.54,0.009052485
0.66,3780.08,0.01166912
0.67,3849.62,0.004578359
0.68,3919.15,0.009798282
0.69,3988.69,0.085866788
0.7,4058.23,0.034533658
0.71,4127.77,0.012282394
0.72,4197.31,0.02075826
0.73,4266.85,0.035625756
0.74,4336.38,0.230158126
0.75,4405.92,0.016389213
0.76,4475.46,0.07305712
0.77,4545,0.312743931
0.78,4603.83,0.026095463
0.79,4662.66,0.013032449
0.8,4721.48,0.032718068
0.81,4780.31,0.009202321
0.82,4839.14,0.055690541
0.83,4897.97,0.039639045
0.84,4956.79,0.184779674
1,5015.62,0.061824866
1.01,5074.45,0.008980679
1.02,5133.28,0.159522905
1.03,5192.1,0.122719834
1.04,5250.93,0.044280129
1.05,5309.76,0.155909517
1.06,5368.59,0.055056637
1.07,5427.41,0.260832975
1.08,5486.24,0.253398793
1.09,5545.07,0.253453787
1.1,5603.9,0.284722083
1.11,5662.72,0.567675889
1.12,5721.55,0.052947509
1.13,5780.38,0.164721881
1.14,5839.21,0.025639872
1.15,5898.03,0.185169631
1.16,5956.86,0.225728503
1.17,6015.69,0.002987922
