Depth,Age,Influx
0.035,10384,0.196
0.045,10539,0.502
0.058,10772,0.341
0.084,11145,0.171
0.1,11365,0.188
0.11,11503,0.086
0.174,12303,0.078
0.206,12691,0.061
0.219,12864,0.155
0.265,13423,0.061
0.297,13784,0.147
0.319,14017,0.053
0.352,14245,0.377
0.374,14346,0.164
0.387,14881,0.088
0.406,16270,0.062
0.432,18136,0.02
0.445,19063,0.046
0.481,33540,0.182
0.497,34034,0.165
0.516,34584,0.089
0.548,35507,0.089
0.571,36171,0.004
0.581,36473,0.089
0.594,36905,0.03
0.623,37860,0.192
0.658,38952,0.175
0.671,39386,0.183
0.703,40383,0.269
0.716,40802,0.201
0.726,41124,0.669
0.748,41752,0.303
0.758,42063,0.746
0.768,42397,0.805
0.777,42691,0.771
0.823,43712,0.636
0.858,44465,0.9
0.868,44685,0.236
0.89,45146,0.432
0.9,45370,0.364
0.923,45845,0.424
0.935,46103,0.773
0.955,46526,0.662
1,47477,0.535
1.01,47704,0.816
1.019,47907,0.841
1.032,48181,1
1.065,48904,0.595
1.077,49155,0.731
1.087,49385,0.552
1.097,49628,0.621
1.142,51031,0.732
1.2,53672,0.604
