Depth,Age,Influx
3.22815,10071,18953.55148
4.29625,10282,49752.68962
5.39231,10512,33939.61586
8.91536,11159,17063.74057
10.02261,11306,17959.48524
10.85663,11406,8513.8408
17.49052,12216,6860.9508
20.72597,12626,4972.02223
21.81085,12767,15953.43562
26.26219,13348,6088.78179
29.5336,13753,14260.8243
31.68098,13988,5081.02731
34.89966,14270,37064.3487
37.33464,14428,16815.68307
38.40833,14553,9040.76626
40.63241,15042,5978.98976
43.5587,15660,2014.19522
44.62679,15878,4502.05954
48.74261,15954,16929.19525
51.49395,32805,8817.08049
54.8045,33831,8496.13036
56.52688,34653,727.66817
58.13742,35590,8276.51449
59.27821,36116,2878.39018
62.4897,36564,18936.5485
66.05589,36925,17455.3576
67.12958,37965,18881.60479
70.3954,39086,27053.59166
71.46909,39441,19986.4567
72.60988,40431,66711.40972
74.89707,40765,30283.40276
75.95399,41124,74176.39375
76.97176,41754,80792.48471
77.70246,42062,78125.9129
82.38495,42374,63977.5467
85.60603,42585,89135.85272
86.67972,43545,24030.60643
88.98368,44246,42101.9685
90.11809,44469,35490.44029
92.3166,44946,42842.91371
93.41825,45199,77181.29493
95.59919,45683,66586.26811
99.92192,45916,54243.09803
101.08508,46391,81858.16379
102.15878,47311,85171.82924
103.27081,47573,124801.8257
106.54302,47802,59263.45252
107.58475,48020,72468.8939
108.73514,48763,55392.46452
109.77048,48992,62379.47323
114.37202,49236,72789.20811
119.78521,49460,60810.77938
,50840,
,53407,
