Depth,Age,Influx
0.03,4884,1296.899164
0.05,4944,712.3120406
0.07,5008,410.7398152
0.47,6080,320.6315068
0.49,6148,151.7147065
0.51,6222,28.26842226
0.67,12483,173.4675408
0.72,12805,410.9492542
0.78,13201,208.4815729
0.84,13529,550.3913524
0.9,13769,1023.51394
1.02,14232,1097.60081
1.07,14411,452.5276493
1.12,14598,406.7224379
1.17,14800,416.8604455
1.22,15000,279.6149565
1.32,15388,1483.969223
1.37,15591,432.4101708
1.42,15781,944.2988889
1.49,16068,258.5329146
1.55,16321,264.4251869
1.61,16572,666.8238181
1.72,17035,265.5007364
1.79,17331,1237.248913
1.85,17576,676.561895
1.93,17903,390.5661712
1.99,18163,377.7797787
2.04,18387,466.7420668
2.09,18624,228.0780821
2.15,18915,1196.684228
2.22,19245,347.0377251
2.29,19583,219.0452868
2.34,19838,104.4202225
2.39,20099,112.7197619
2.44,20348,1009.455689
2.46,20527,289.7987035
2.54,20778,298.4926646
2.59,20967,661.5280678
2.64,21175,139.6413703
2.69,21375,414.8170119
2.72,21495,414.0775876
2.79,21784,801.9205916
2.85,22036,134.2417933
2.93,22364,256.7435389
2.99,22620,249.1393465
3.04,22842,605.8844576
3.09,23068,241.107402
3.15,23346,108.1815131
3.22,23697,561.623829
3.31,24138,781.9916739
3.34,24288,555.2668663
3.39,24542,1222.79064
3.43,24745,119.3654877
3.49,25030,888.2870984
