Depth,Age,Influx
0,78,1473216.371
6,385,1715110.94
15,767,1844120.168
22,1065,2172619.94
31,1464,9787439.067
38,1748,6198694.359
47,2110,8121156.685
54,2758,12225515.27
63,4067,6737846.13
70,5326,3168626.905
75,6397,6920341.648
79,7045,5660946.418
83,7652,8965195.123
86,8018,12043528.04
91,8777,7225509.011
95,9414,40415579.81
99,9538,19871873.4
103,9632,10330522.08
107,9730,27400972.73
111,9839,11688331.15
115,9942,13719893.56
119,10042,6667852.7
127,10345,1936298.11
135,10728,1397988.205
144,11168,2989909.224
151,11574,278320.9769
159,12311,179101.8903
167,14116,469804.1664
176,17192,476437.306
183,19591,527203.8574
191,22339,1022358.382
199,24060,913830.7848
215,26272,1004286.068
219,26833,1378108.217
224,27562,673479.8491
231,28616,1066346.768
235,29210,2559591.85
239,29796,453976.8978
243,30393,2568552.674
251,31485,2743012.768
260,32595,858696.8248
263,32966,254561.9421
272,34055,1932138.334
279,34929,798706.975
288,36050,1328470.192
295,36890,4097740.299
309,38596,1377636.796
318,39731,1581323.569
321,40100,998847.9665
325,40577,3338250.693
334,41677,2302544.637
337,42016,4220873.143
341,42485,4333586
346,43035,4398862.018
354,43814,0
357,44101,513057.7954
362,44575,340901.8878
366,44967,828068.2843
373,45681,0
382,46549,0
385,46840,0
389,47237,0
390,47313,249675.3305
395,47782,201747.6781
402,48484,2765428.031
410,49256,0
417,49949,0
427,50918,376887.1216
434,51609,398145.4545
442,52412,0
450,53220,1073984.661
458,54007,6355222.806
466,54818,6421245.665
