Depth,Age,Influx
1.36051,4,30959.42015
6.2879,117,45790.61561
8.88847,184,7589.05155
10.85942,233,62868.9619
12.88513,284,78149.58753
20.9332,846,622.88398
23.88963,1263,847.59907
32.40306,2567,6690.19122
34.94888,3010,4892.47055
36.94721,3269,3993.61022
48.08859,3817,8038.48171
50.08692,3899,8038.48171
52.11262,3973,1746.4594
54.08358,4053,15229.36436
64.07523,4477,21071.95651
66.1283,4576,10285.63254
69.13949,4847,16128.22469
71.11044,5003,8937.34204
75.68196,5456,12532.78337
80.14399,5922,21521.38668
82.14232,6122,47588.33627
84.1954,6337,14779.93419
