Depth,Age,Influx
0.0093856,1301,29545.39697
0.0483036,1428,78594.49982
0.1247742,1580,4577.42529
0.1531662,1629,71567.99412
0.1825065,1679,18323.45341
0.2133071,1739,48169.04798
0.2585977,1840,72386.61615
0.3029211,1954,50556.69555
0.333589,2027,13786.92304
0.4088078,2243,22518.89128
0.4424003,2384,8056.56888
0.479968,2680,7920.13188
0.5558316,3264,11399.27547
0.5736748,3384,9727.92218
0.6427714,3847,13445.83053
0.7172696,4414,10682.9812
0.7382459,4589,5191.3918
0.7975333,5079,5054.9548
0.8193821,5563,8875.1909
0.9186118,7124,6487.54334
0.9632196,7406,10103.12394
1.0142,7643,30841.54851
1.0580682,7896,18084.68866
1.1251127,8346,17368.39439
1.1525753,8509,28249.24543
1.201735,8709,41551.8533
1.2481636,8873,41142.54229
1.2663709,8949,41006.10528
1.3797112,9162,39437.07974
1.3983737,19364,9830.24993
1.43934,19598,7442.60236
1.4902952,20010,7340.27461
1.5276454,20374,7865.55708
1.6182266,21248,6965.07285
1.660274,21665,5430.15656
1.7429465,22404,6010.01382
1.7976821,22836,4713.86229
1.8898186,24308,5907.68607
1.9573941,25564,3758.80326
2.0259787,26837,3567.79146
2.045946,27225,3281.27375
2.0682499,27780,2883.33249
2.1213545,29038,5111.80355
2.1436584,29610,4713.86229
2.1680865,30130,4713.86229
2.2211911,31311,7340.27461
2.2695921,32284,6010.01382
2.3167794,33130,8772.86315
2.4010829,34693,5251.08299
2.419165,35064,7483.53347
