"Depth","Age","TRSH"
0,-45,40.8163265306122
5,306,31.7241379310345
10,659,38.3763837638376
15,1008,43.21608040201
20,1355,54.8051948051948
25,1704,56.1274509803922
30,2056,74.6300211416491
32,2198,64.5514223194748
34,2334,72.1674876847291
36,2454,71.8446601941748
38,2573,74.5238095238095
40,2693,61.9897959183673
42,2812,70.1298701298701
44,2931,55.3418803418803
46,3048,27.3279352226721
48,3167,32.6139088729017
58,3766,75.2314814814815
60,3887,76.657824933687
62,4008,73.2558139534884
64,4129,71.7761557177616
66,4249,63.3152173913043
