"Depth","Age","TRSH"
240,2288,94.4827586206897
8,-40,99.3311036789298
16,-13,97.4763406940063
24,34,95.3488372093023
32,72,97.8193146417445
40,144,99.6978851963746
48,220,97.7198697068404
56,293,99.6794871794872
64,363,99.3220338983051
72,435,100
80,507,97.9651162790698
88,579,95.3795379537954
96,697,91.5915915915916
104,885,76.1467889908257
112,1067,52.1452145214521
120,1183,44.1269841269841
128,1280,58.8588588588589
136,1375,50.5050505050505
144,1469,53.3980582524272
152,1545,50.6896551724138
160,1612,57.0945945945946
168,1681,33.7979094076655
176,1750,59.6551724137931
185,1826,42.7118644067797
192,1885,87.719298245614
196,1919,44.5205479452055
200,1953,41.9141914191419
208,2021,14.8809523809524
216,2090,38.4879725085911
224,2159,86.7132867132867
232,2228,99.2874109263658
