"Depth","Age","TRSH"
50,4899,71.8120805369128
55,5002,68
60,5106,66.9811320754717
65,5212,63.7462235649547
70,5329,62.4633431085044
75,5499,71.8905472636816
80,5638,59.7765363128492
85,5774,60.4790419161677
90,5918,66.027397260274
95,6054,66.1885245901639
100,6189,50.3856041131105
105,6325,37.708830548926
110,6452,35.2941176470588
115,6584,21.6666666666667
120,6713,31.0769230769231
125,6822,21.7983651226158
130,6868,27.5862068965517
135,6914,20.4419889502762
140,6961,31.4199395770393
145,7007,17.047817047817
150,7058,22.4719101123596
155,7109,19.5804195804196
160,7159,28.8461538461538
165,7211,14.25
170,7262,26.2068965517241
175,7314,16.2162162162162
180,7365,20.265780730897
185,7418,14.5962732919255
190,7471,30.0724637681159
195,7521,14.9390243902439
200,7572,16.4634146341463
