Depth,Age,TRSH
1,4944,71.69811321
2,5597,69.17293233
3,6080,61.78343949
4,6148,66.08695652
5,6222,68.62745098
6,12483,60.31746032
7,12739,67.93478261
8,13201,60.83916084
9,13529,68.91891892
10,13769,58.70646766
11,14232,55.88235294
12,14411,53.44827586
13,14598,67.39130435
14,14800,51.23966942
15,15388,63.23529412
16,15591,52.38095238
17,15781,60.81081081
18,16068,50.48543689
19,16321,58.78787879
20,16572,58.86075949
21,17035,63.08724832
22,17331,53.48837209
23,17576,56.65236052
24,17903,62.88659794
25,18163,62.43093923
26,18387,61.73913043
27,18624,54.97076023
28,18915,64.51612903
29,19245,56.25
30,19583,60.79545455
31,19838,62.32876712
32,20099,64.66666667
33,20348,66.02564103
34,20592,54.73684211
35,20778,62.01550388
36,20967,58.98876404
37,21175,56.08108108
38,21375,54.62184874
39,21495,59.42857143
40,21784,72.78911565
41,22036,68.64864865
42,22364,68.6695279
43,22620,63.39869281
44,22842,58.49056604
45,23068,64.57142857
