"Depth","Age","TRSH"
0,0,42.9928741092637
4.8,68,41.6452442159383
9.6,136,54.0298507462687
14.4,204,46.6666666666667
21.12,300,45.9701492537313
24,348,38.8174807197943
28.8,430,35.9649122807018
33.6,514,35.5742296918768
38.4,597,20.0657894736842
43.2,680,16.0130718954248
48,785,16.2162162162162
53.07,896,23.7341772151899
58.17,1007,18.3606557377049
63.27,1118,29.2604501607717
68.37,1229,30.8605341246291
73.47,1340,34.3558282208589
78.57,1451,21.0691823899371
83.68,1562,25.625
88.77,1673,28.7790697674419
94.38,2031,32.463768115942
98.97,2434,21.1726384364821
101.01,2613,33.0555555555556
104.07,2882,31.3218390804598
110,3330,23.9130434782609
115,3778,24.9240121580547
120,4226,31.8918918918919
125,4645,42.3611111111111
130,4943,24.2331288343558
135,5241,32.9376854599407
140,5539,35.5978260869565
145,5837,34.8348348348348
150,6135,43.3846153846154
