Depth,Age,TRSH
0,1222,84.10102204
1.207223806,1246,84.77021484
8.193979003,1387,84.78933463
11.34874505,1452,88.10922617
13.89779601,1516,86.79169853
16.4258152,1561,88.78537162
25.31804909,1689,88.8097059
26.61360634,1718,84.83974136
30.42877008,1814,84.1879302
34.21028297,1935,88.83404019
38.6858444,2058,84.21052632
40.57870403,2118,86.20246124
43.11934228,2236,86.20941389
46.26148926,2381,91.51602586
48.80212751,2509,91.52297852
51.34697212,2650,90.86769102
54.50173816,2868,94.18758256
62.78825697,3513,89.57449767
69.81286936,4065,83.63345616
72.34930126,4264,84.30264896
74.93200306,4484,77.68720017
77.48526038,4751,75.70743239
79.37812,4944,77.69936731
82.57494959,5429,74.3968574
84.52669819,5680,67.1174303
89.67107001,6618,57.19773344
91.55972328,6808,59.8519085
96.08576097,7164,47.2815129
99.27417785,7239,45.30348328
102.441563,7310,46.63665438
103.6571995,7335,55.24925259
108.7342696,7446,55.92539804
110.6607801,7492,52.61941181
113.1467357,7565,61.23548634
115.6537231,7739,66.54036015
120.7602378,8449,62.58082458
122.0053188,8542,66.55774178
127.0487381,8883,72.53180838
129.5977891,9058,71.21428075
131.6084266,9178,54.66349162
135.4151776,9259,55.33616075
137.2912118,18086,59.97705625
140.471216,18574,59.32350692
146.8480498,18924,55.36744768
149.4097198,19507,52.06319961
151.3067858,20382,53.39289439
152.5855176,20695,52.07189043
155.0840923,20893,58.70124452
159.5596538,21024,54.07773065
163.3621984,21284,55.41263992
167.1731558,21696,55.4230689
169.7306195,22022,52.78106097
172.2712577,22325,52.78801363
175.4302301,22531,55.44566502
177.360947,22740,51.47743864
179.8973789,23033,52.14663144
181.8238893,23303,48.84064521
183.6368282,23633,63.41514288
186.8883404,23934,51.50351109
188.7349301,24214,60.7800876
191.38914,24680,42.90655635
193.8961274,24959,48.21143016
196.4620038,25330,44.24494195
200.2224849,25689,52.20225266
202.7631231,26248,52.20920531
204.7148717,27299,44.92977821
207.8191615,27953,56.19655148
210.4060697,28457,48.91886255
214.7722659,28934,61.51359244
217.3970312,29300,48.2757422
219.2814781,30014,51.59215741
224.9684697,30436,56.24348189
226.928631,30729,47.6395745
230.1086352,31531,46.98602517
235.1730863,31843,49.64889105
238.3909476,32342,43.03518042
239.6234096,33165,48.99881805
,33689,
,33896,
