"Depth","Age","TRSH"
2,-11,47.2837022132797
4,34,51.3131313131313
6,76,41.7338709677419
8,120,41.4141414141414
10,164,50.1057082452431
12,208,55.0106609808102
14,252,61.1881188118812
16,294,57.201646090535
18,338,45.8937198067633
20,380,46.8634686346863
22,423,50.6976744186046
24,482,48.1884057971015
26,573,48.0314960629921
28,679,53.7313432835821
30,782,45.9016393442623
32,881,48.2142857142857
34,982,55
36,1084,40.3726708074534
38,1209,36.0169491525424
40,1483,43.3098591549296
42,1792,47.1641791044776
44,2102,46.7857142857143
46,2433,43.5028248587571
48,2748,38.8888888888889
50,3034,35.207100591716
52,3177,29.8440979955457
54,3337,32.7235772357724
56,3515,32.6839826839827
58,4055,38.8278388278388
60,4600,25
61,4859,36.4912280701754
62,5121,18.2008368200837
63,5324,26.4058679706601
64,5526,18.5840707964602
65,5577,25.2847380410023
66,5627,11.8380062305296
67,5679,20.3252032520325
68,5731,16.4345403899721
69,5784,14.7843942505133
70,5837,16.7452830188679
71,5936,13.2231404958678
72,6035,12.8747795414462
74,6485,12.1495327102804
76,6949,12.7182044887781
78,7413,11.5177610333692
80,-11,47.2837022132797
