"Depth","Age","TRSH"
1.3,-61,93.5810810810811
3.4,-57,90.8163265306123
5.5,-52,90.3614457831325
7.7,-47,93.687707641196
9.8,-43,92.258064516129
13.1,-35,88.135593220339
17,-27,84.5070422535211
22.2,-15,85.121107266436
27.4,-4,93.0313588850174
32.9,8,88.3161512027491
38.9,19,93.0555555555556
44.1,30,91.4089347079038
49.2,40,93.5593220338983
55.3,52,91.3907284768212
60,61,95.7236842105263
64.6,71,92.2818791946309
69.5,81,91.6666666666667
75,93,93.9799331103679
79.6,103,94.2760942760943
84.3,113,93.006993006993
90.1,125,91.6387959866221
94.8,136,90.1360544217687
101.5,152,88.8135593220339
106.2,163,90.9698996655518
111,174,91.2457912457913
116.5,187,92.2330097087379
123.5,203,90.0990099009901
126.5,210,93.3110367892976
130.9,221,86.5771812080537
136,233,92.2558922558922
141.2,245,91.5824915824916
146.4,258,92.9292929292929
150.4,268,92.6421404682274
156,286,92.9765886287625
161.4,304,91.9463087248322
165.8,318,92.7152317880795
172.5,340,93.6454849498328
177.5,356,92.2033898305085
182.5,371,89.3333333333333
187.5,386,89.4915254237288
193.3,404,89.4915254237288
198,419,88.5906040268456
203,434,87.9598662207358
208,449,93
213,464,87.2413793103448
218,480,89.8026315789474
223,495,93.9393939393939
228,511,91.2751677852349
233,527,85.3333333333333
238,543,85.4237288135593
243,558,92.7152317880795
248,574,87.7483443708609
253,589,91.0652920962199
258,604,90.6354515050167
263,620,91.0596026490066
268,636,94.7368421052632
273,651,92.9530201342282
278,666,80.3921568627451
283,680,90.1360544217687
288.4,697,90.3010033444816
293,710,93.4640522875817
298,725,93.5275080906149
303,739,83.6065573770492
308,754,87.5838926174497
313,768,86.9127516778524
318,782,88.3333333333333
323,796,87.9598662207358
328,810,91.6666666666667
333,825,92.3076923076923
338,840,94.9664429530201
343,855,82.2950819672131
348,871,76.2376237623762
353,886,79.4701986754967
358,901,74.0740740740741
363,916,73.1788079470199
368,931,78.7375415282392
373,945,52.7027027027027
378,959,71
388,988,90.7894736842105
391.5,998,60.9271523178808
396,1010,77.0226537216828
401,1024,77.6666666666667
406,1038,82.8859060402685
411,1052,86.4406779661017
416,1065,89.4736842105263
421,1079,86.9127516778524
426,1092,88.7043189368771
431,1105,88.9261744966443
436,1118,90
441,1132,91.304347826087
446,1145,89.1803278688525
451,1161,92.3076923076923
456,1185,93.3554817275748
461,1210,86.3333333333333
466,1234,92.1501706484642
471,1258,91.6107382550336
476,1282,90.6976744186047
481,1307,92.9530201342282
486.3,1333,92.6421404682274
491,1357,88.4488448844885
496,1382,94.6308724832215
501,1406,89.6321070234114
506,1431,94.0983606557377
511,1457,93.0232558139535
516,1485,86.970684039088
521,1514,94.314381270903
526,1542,94.2176870748299
535,1594,90.6666666666667
544,1643,92.7392739273927
554,1695,92.156862745098
566,1758,81.063122923588
577,1814,83.7748344370861
588,1870,83.974358974359
599,1927,85.8520900321543
610,1959,85
621,1988,91.2337662337662
632,2016,85.6677524429967
647,2053,79.5986622073579
667,2102,88.0794701986755
687,2152,84.4884488448845
707,2199,87.1621621621622
717,2222,95.0166112956811
727,2257,92.3076923076923
737,2299,91
747,2340,91.9191919191919
757,2415,89.7106109324759
