"Depth","Age","TRSH"
1,-59,93.2862190812721
2,-36,93.1654676258993
3,-11,91.1347517730496
4,14,93.0313588850174
5,39,92.6739926739927
6,64,91.2727272727273
7,85,92.8571428571429
8,107,90.7473309608541
9,128,89.8245614035088
10,149,85.7638888888889
11,171,92.5531914893617
12,209,91.1660777385159
13,248,91.2587412587413
14,286,92.8571428571429
15,325,93.7282229965157
16,363,87.1527777777778
17,410,92.1985815602837
18,456,87.8571428571429
19,502,90.9420289855072
20,548,90.7142857142857
21,594,93.5018050541516
22,608,90.3345724907063
23,622,89.5306859205776
24,636,90.1459854014599
25,649,89.7810218978102
26,663,94.1391941391941
27,676,90.8127208480565
28,689,90.2173913043478
29,702,92.0289855072464
30,715,91.5750915750916
31,728,90.2877697841727
32,742,89.3992932862191
33,756,85.4545454545455
34,770,91.5750915750916
35,784,91.5750915750916
36,798,90.4593639575972
37,812,90.9420289855072
38,826,90.8759124087591
39,839,89.1791044776119
40,853,89.2988929889299
41,866,91.3857677902622
42,888,92.2794117647059
43,910,90.7749077490775
44,931,90.9090909090909
45,953,89.4339622641509
46,975,91.2087912087912
47,1005,93.8181818181818
48,1036,90.2877697841727
49,1067,93.9929328621908
50,1098,91.8518518518518
51,1129,88.4476534296029
52,1171,91.1032028469751
53,1213,89.6428571428571
54,1255,90.4761904761905
55,1298,87.9858657243816
56,1340,88.2142857142857
57,1386,90.1060070671378
58,1432,91.8439716312057
59,1478,86.7132867132867
60,1524,87.410071942446
61,1570,92.0863309352518
62,1612,87.8571428571429
63,1654,86.9090909090909
64,1696,91.8149466192171
65,1739,90.6474820143885
66,1781,87.4074074074074
67,1822,93.1654676258993
68,1863,88.0701754385965
69,1905,87.8228782287823
70,1946,83.0188679245283
71,1987,86.1702127659574
72,2033,91.7562724014337
73,2080,83.8028169014085
74,2126,90.6474820143885
75,2172,93.0656934306569
76,2218,90.0709219858156
77,2253,91.2891986062718
78,2289,92.3875432525952
79,2324,90
80,2359,88.1720430107527
81,2395,90.5594405594406
82,2721,86.0714285714286
83,3048,85.9205776173285
84,3375,92
85,3702,93.5849056603774
86,4029,86.5168539325843
87,4345,91.1764705882353
88,4661,88.1720430107527
89,4977,91.7562724014337
90,5293,87.6811594202899
91,5609,91.5194346289753
92,5787,90.6137184115523
93,5966,90.6474820143885
94,6144,91.5194346289753
95,6322,94.3396226415094
96,6501,89.1304347826087
97,6546,90.5109489051095
98,6591,90.188679245283
99,6636,92.2178988326848
100,6681,87.4100719424461
101,6726,91.4814814814815
102,6768,90.1818181818182
103,6809,84.0740740740741
104,6850,88.4328358208955
105,6892,89.2988929889299
106,6933,90.1098901098901
107,6983,88.7596899224806
108,7034,88.6792452830189
109,7085,93.5849056603774
110,7136,87.0036101083032
111,7186,93.9501779359431
112,7236,91.4089347079038
113,7286,91.3978494623656
114,7336,92.3076923076923
115,7386,89.1608391608392
116,7436,90.3571428571429
117,7488,93.8181818181818
118,7541,91.1971830985916
119,7593,91.8149466192171
