Depth,Age,TRSH
3.85,8,84.03990025
7.15,56,87.80487805
12.65,153,81.65938865
17.05,248,90.10526316
21.45,329,84.08163265
25.85,410,88.71681416
30.25,492,85.57919622
34.65,597,85.61151079
39.05,704,74.25287356
43.45,1211,71.42857143
47.85,1827,61.59090909
52.25,2216,63.27014218
56.65,2407,56.46766169
61.05,2574,57.65472313
65.45,2702,56.68789809
69.85,2829,55.01618123
74.25,3287,43.22580645
78.65,3748,53.69127517
83.05,4079,44.9044586
87.5,4376,56.09756098
91.5,4592,47.02194357
101.5,4998,40.59701493
111.5,5604,42.66666667
115.5,5905,42.38410596
119.5,6197,40.80267559
127.5,7128,41.71597633
135.5,10056,40.60606061
143.5,13906,30.67846608
151.5,18376,25.79617834
155.5,21609,36.36363636
159.5,24826,22.45989305
161.5,26457,28.17337461
165.5,29176,30.99041534
