"Depth","Age","TRSH"
0,-3,97.5308641975309
5,547,99.3846153846154
10,1122,99.4047619047619
15,1745,99.3485342019544
20,2405,99.5098039215686
25,3006,98.6798679867987
30,3614,98.4042553191489
35,4278,95.8860759493671
40,4912,88.4498480243161
45,5490,99.0415335463259
50,6070,80.1369863013699
55,7084,86.6279069767442
55.5,7960,91.7225950782998
57.5,11470,94.0559440559441
59.5,14975,95.5555555555555
60,15850,87.6623376623377
61.5,16584,93.9068100358423
62.5,17074,91.6167664670659
63.5,17566,98.134328358209
67.5,18877,96.6386554621849
69.5,19347,89.1228070175439
70,19465,97.7337110481586
71.5,20302,91.324200913242
73.5,21425,93.1116389548693
77,23627,93.5975609756098
79.5,25329,90.8474576271186
