"Depth","Age","TRSH"
0,645.5,89.8172323759791
5,732,88.6363636363636
11,864,87.1212121212121
16,980.5,84.8758465011287
21,1096,82.25
26,1209,87.9069767441861
31,1324,82.5986078886311
35,1416.5,85.1674641148325
40,1528,88.2743362831858
42,1573,84.2995169082126
45,8215.5,85.9315589353612
47,8295,90.4587155963303
52,8555,91.9087136929461
61,9032.5,92.0353982300885
73,9685.5,91.4728682170543
91,9866,91.0798122065728
110,10016.5,90.9270216962525
130,10196.5,87.0813397129187
140,10297.5,89.7435897435897
176,10353.5,88.1548974943052
181,10397.5,86.6050808314088
201,10565.5,87.2860635696822
221,10624,77.1362586605081
241,10675.5,90.5063291139241
302,10805,71.5083798882682
