"Depth","Age","TRSH"
0,0,69.0095846645367
1,107,77.8145695364238
2,214,44.1295546558704
3,322,72.887323943662
4,429,72.0394736842105
5,536,71.1340206185567
6,643,74.6376811594203
7,750,75.1824817518248
8,858,77.5862068965517
9,965,66.1184210526316
10,1072,68.1967213114754
11,1179,74.9174917491749
12,1286,76.8707482993197
13,1394,75.1552795031056
14,1501,75.3012048192771
15,1608,70.0680272108844
16,1715,72.5694444444444
17,1822,63.7873754152824
18,1930,51.5463917525773
19,2080,41.1764705882353
20,2229,52.5423728813559
21,2379,39.1304347826087
22,2528,46.5986394557823
25,2977,47.7611940298507
27,3276,51.9607843137255
30,3725,47.1337579617834
32,4117,44.1077441077441
35,4704,33.2225913621262
37,5096,41.156462585034
40,5683,35.8108108108108
