"Depth","Age","TRSH"
0,-53,96.5183752417795
2,22,93.0599369085174
20,456,92.7505330490405
40,723,84.8806366047745
60,977,82.4257425742574
80,1181,89.2655367231638
105,1381,83.7113402061856
120,1591,84.1013824884793
140,1919,64.0579710144928
160,2243,65.9824046920821
180,2576,84.7926267281106
200,2907,79.6703296703297
220,3235,78.4974093264249
240,3646,76.8421052631579
260,4087,79.5546558704453
280,4506,73.4643734643735
300,4844,80.1724137931034
320,5074,83.2229580573951
340,5305,81.374321880651
360,5542,80.0718132854578
380,5776,78.494623655914
400,6002,79.7136038186158
420,6241,81.9477434679335
440,6625,75
460,7022,70.8423326133909
480,7436,72.1428571428571
501,7849,71.1442786069652
520,8220,81.3148788927336
540,8612,80.082135523614
560,9001,83.3671399594321
