"Depth","Age","TRSH"
10,5388,36.6522366522367
20,6304,38.7205387205387
30,7379,33.9310344827586
40,7654,34.5697329376855
50,7842,41.8096723868955
60,7972,44.0065681444992
65,8034,33.0592105263158
70,8096,43.6893203883495
75,8150,35.6589147286822
80,8204,44.5392491467577
85,8329,38.8719512195122
90,8451,42.1232876712329
95,8617,39.6694214876033
100,8780,42.2185430463576
105,8939,41.9031719532554
110,9098,38.0057803468208
115,9267,40.9618573797678
120,9433,40.7960199004975
125,9586,41.4325842696629
130,9736,43.2520325203252
135,9893,43.3384379785605
140,10053,43.0508474576271
150,10377,44.4256756756757
160,10711,42.8333333333333
180,11363,43.9577039274924
190,11693,44.7412353923205
200,12034,40.5864197530864
210,12391,43.2119205298013
220,12750,42.7378964941569
230,13115,40.8264462809917
240,13447,44.8504983388704
250,13845,40.5990016638935
260,14299,39.443535188216
270,14716,42.6421404682274
280,15131,42.2893481717011
290,15538,34.4715447154472
300,15971,40.3149606299213
310,16392,40.7035175879397
320,16821,41.5254237288136
330,17191,38.758389261745
340,17556,40
350,17934,39.451114922813
360,18299,39.5309882747069
370,18671,41.7241379310345
380,19033,40.0304414003044
390,19381,37.2357723577236
400,19739,42.7364864864865
410,20093,40.531561461794
420,20493,42.1319796954315
430,20984,43.2478632478633
440,21506,42.814371257485
450,22002,40.3035413153457
460,22515,40.1652892561983
470,22989,38.4615384615385
480,23420,39.3092105263158
490,23823,39.8319327731092
500,24257,39.1025641025641
510,24695,39.2125984251968
520,25129,40.9246575342466
530,25540,40.2912621359223
540,25952,40.2684563758389
550,26360,39.6381578947368
560,26968,38.6324786324786
580,28240,37.962962962963
590,28889,39.4648829431438
600,29545,40.9556313993174
610,30200,38.4488448844884
620,30874,39.5384615384615
625,31209,34.8958333333333
630,31550,40.3908794788274
635,31879,37.9831932773109
640,32203,39.5547945205479
645,32537,38.0634390651085
650,32866,40.7407407407407
655,33185,39.1156462585034
660,33504,36.9230769230769
665,33829,39.9366085578447
670,34157,42.713567839196
675,34464,38.961038961039
680,34772,40.2173913043478
685,35081,41.6260162601626
690,35392,37.6053962900506
695,35626,40.4006677796327
700,35856,42.9780033840948
705,36157,36.5231259968102
710,36454,41.3008130081301
715,36745,34.7039473684211
720,37038,41.0526315789474
725,37337,38.1026438569207
730,37635,38.5245901639344
735,37935,36.3484087102178
740,38231,38.8571428571429
745,38532,40.0667779632721
750,38830,40.0630914826498
755,39125,37.7668308702792
760,39419,40.7960199004975
770,39885,38.628762541806
780,40361,38.6643233743409
790,40801,33.8501291989664
800,41289,33.2161687170475
810,41788,40.1162790697674
820,42302,34.621578099839
830,42816,41.4141414141414
840,43303,35.0591715976331
850,43804,39.7260273972603
860,44327,37.9084967320261
870,44825,40.9756097560976
879,45286,37.7926421404682
