"Depth","Age","TRSH"
2,103,42.1926910299003
10,699,43.0976430976431
20,872,36.3036303630363
30,1047,52.0634920634921
40,1221,48.0519480519481
50,1392,54.6052631578947
60,1581,52.7156549520767
70,1757,53.9735099337748
78,1903,51.7799352750809
90,2108,56.1290322580645
98,2231,57.2815533980583
110,2418,71.1038961038961
120,2581,65.5737704918033
130,2744,66.1129568106312
140,2902,70.3583061889251
150,3057,62.7062706270627
160,3206,62.3333333333333
170,3361,59.8684210526316
180,3523,52.3510971786834
190,3690,51.4469453376206
198,3811,46.0063897763578
210,3912,32.5806451612903
220,3982,42.6282051282051
230,4052,36.9774919614148
240,4122,33.3333333333333
250,4190,36.963696369637
260,4260,30.1948051948052
270,4330,41.5032679738562
280,4401,37.4592833876222
290,4497,42.8571428571429
298,4632,46.4882943143813
310,4833,12.962962962963
320,4998,55.5921052631579
330,5168,35.9477124183006
340,5335,43.3333333333333
350,5503,42.2442244224422
360,5665,50.8196721311475
370,5827,53.9473684210526
380,5991,51.6891891891892
390,6152,21.8120805369127
400,6333,14.2450142450142
412,6555,32.8402366863905
422,6741,24.4372990353698
432,6929,7
442,7116,6.57894736842105
452,7301,6.16438356164384
482,7856,9.47712418300654
490,7941,7.92079207920792
513,8163,7.98816568047337
520,8230,10.0671140939597
529,8316,9.84126984126984
540,8418,9.49868073878628
550,8516,13.5802469135802
560,8609,8.72274143302181
570,8702,9.96784565916399
580,8796,11.2540192926045
590,8890,3.87096774193548
598,8964,4.53074433656958
610,9074,6.18892508143322
620,9165,14.0468227424749
630,9254,12.9230769230769
640,9345,10.8196721311475
650,9436,12.1212121212121
660,9528,17.1428571428571
670,9617,2.22929936305732
680,9708,8.58369098712446
695,9856,17.3076923076923
