"Depth","Age","TRSH"
10,230,91.3432835820896
20,525,82.3630136986301
30,813,83.4932821497121
40,1094,86.3557858376511
50,1392,79.9204771371769
60,1676,77.0661157024793
70,1965,82.1428571428571
80,2250,82.9059829059829
90,2545,77.8666666666667
100,2926,78.9473684210526
110,3356,75.1396648044693
120,3762,77.602523659306
130,4170,77.7777777777778
140,4583,77.683615819209
150,4989,78.9041095890411
160,5538,79.2771084337349
170,6093,77.3993808049536
180,6639,69.041095890411
190,7184,79.3785310734463
200,7751,75.8904109589041
210,8284,79.1304347826087
220,8817,68.1672025723473
230,9169,73.3532934131737
240,9534,75.8620689655172
255,10077,57.185628742515
