"Depth","Age","TRSH"
2,-37,82.3529411764706
3,-32,90.1515151515152
4,-26,86.5454545454545
5,-20,85.9375
6,-14,89.3258426966292
7,-8,92.3387096774194
8,-2,92.2190201729107
9,4,87.5
10,10,83.8235294117647
11,16,56.1643835616438
12,22,44.9101796407186
13,28,40.2597402597403
14,34,38.3177570093458
15,40,30.7692307692308
16,46,44.4067796610169
17,52,30.7692307692308
18,58,28.2608695652174
19,64,41.1016949152542
20,70,38.4615384615385
21,76,22.5531914893617
22,82,27.2727272727273
23,88,29.1793313069909
24,94,24.6105919003115
25,100,18.5430463576159
