Depth,Age,TRSH
8,4217.358295,76.03466474
16,4830.287206,70.05536729
24,5214.525119,79.75112494
32,6061.700276,62.57430143
40,6822.769105,75.99577801
48,7329.222451,84.19717423
56,9426.328167,74.46438161
64,12037.29422,78.90302391
72,15134.34439,75.12545599
80,17987.88956,75.08286577
88,18849.87871,69.84611966
96,19853.52666,78.78636372
104,20965.50192,75.03842379
112,23070.9405,72.02192471
120,25803.19612,74.21995074
128,28414.16218,78.65859304
136,32254.68955,74.1236598
144,34984.16755,74.08292132
152,37953.44703,67.3221858
160,39695.01694,71.02753551
168,40932.91113,68.7702535
176,42428.19843,73.97181638
185,44407.71809,69.46465937
192,45778.01233,73.92181916
196,49375.03472,73.1218636
