Depth,Age,TRSH
2,-59,87.98701299
4,-50,85.98130841
6,-39,83.73205742
8,-26,80.18018018
10,-12,83.57142857
12,4,81.28205128
14,27,82.21649485
16,67,82.02898551
18,125,80
20,186,84.13978495
22,246,81.56565657
24,307,83.91420912
26,368,80.42895442
28,427,81.31578947
30,488,84.31372549
32,535,85.07462687
34,582,82.86384977
36,629,88.67102397
38,674,82.08092486
40,721,90.69069069
42,769,84.59214502
44,815,91.69139466
46,862,86.45533141
48,908,87.81869688
50,955,83.89057751
52,1002,90.21406728
54,1049,84.22619048
56,1096,89.25373134
58,1142,83.86167147
60,1188,85.18518519
64,1409,90.12738854
66,1528,85.92814371
70,1768,80.40935673
72,1887,85.87896254
74,2007,81.62650602
76,2126,85.49848943
78,2249,85.01440922
80,2368,90.16393443
82,2484,76.10294118
84,2600,84.59459459
86,2717,81.4159292
88,2833,83.67952522
90,2950,81.33333333
92,3065,88.82175227
94,3182,80.84507042
96,3301,91.7218543
100,3534,85.79234973
102,3661,81.57181572
104,3791,82.72980501
108,4052,85.91160221
110,4184,84.43804035
112,4318,90.39039039
114,4452,83.05555556
