Depth,Age,Influx
0,199,0
0.015,204,464.7425
0.065,224,674.853713
0.31,325,56.13081081
0.49,399,117.2142857
0.69,469,56.17184211
0.875,545,67.80048077
1,597,75.718125
1.105,629,54.485
1.275,685,119.1048387
1.455,747,56.37886364
1.67,835,189.2551881
1.82,898,331.0607595
2.02,977,167.7054054
2.24,1088,118.9034314
2.455,1190,179.806875
2.71,1310,139.8585859
2.91,1409,112.82
3.23,1569,181.9569277
3.385,1652,154.8448052
3.535,1729,206.571831
3.795,1871,93.05040323
4.045,1995,163.7709677
4.285,2119,157.6035345
4.515,2235,140.1083333
4.685,2319,156.6944444
4.885,2427,233.560396
5.085,2528,300.0531915
5.285,2622,120.6627451
5.485,2724,360.8243814
5.875,2918,352.2185484
6.05,3011,283.3415827
6.29,3150,189.7418421
6.475,3245,191.7488406
6.69,3383,184.29375
6.89,3511,167.0314286
7.07,3616,186.8117857
7.24,3728,245.895036
7.455,3867,296.0796226
7.635,3973,188.3816327
7.86,4120,215.892217
8.035,4226,284.3064
8.245,4351,241.7145769
8.46,4481,376.9435897
8.66,4598,261.1415476
8.95,4766,224.9776344
9.12,4859,207.5888
9.35,4984,213.8493852
9.535,5106,169.1212766
9.735,5294,87.60683731
9.94,5456,106.227
10.085,5596,96.29380568
10.3,5825,117.94872
10.505,6030,90.83007347
10.725,6266,130.0453971
11.125,6684,226.2882757
11.215,6787,205.7345777
11.34,6935,219.4570147
11.52,7139,139.8601435
11.72,7348,147.1264331
11.98,7638,307.4156072
12.145,7777,348.6027079
12.345,7955,414.8681022
12.605,8233,120.4901283
12.785,8459,169.8598818
13.005,8728,83.42362042
13.17,8941,95.4519927
13.37,9215,222.5880486
13.6,9472,164.0004524
13.845,9698,226.8244615
13.97,9828,433.6603037
14.195,9977,1689.412782
14.41,10101,1731.157697
15.05,10453,1016.865485
15.41,10640,541.4087851
15.575,10727,333.1314344
15.85,10854,505.1664776
16,10921,891.6953733
