"Depth","Age","Influx"
"0.205","95","12380.92944"
"0.42","308","12389.65455"
"0.62","506","11423.9908"
"0.81","693","35396.55472"
"1.14","1017","59932.415"
"1.325","1200","48951.6137"
"1.54","1411","67186.03449"
"1.72","1589","73462.86092"
"1.885","1752","79028.29751"
"2.12","1983","39863.714"
"2.335","2198","59915.18314"
"2.525","2386","46647.48818"
"2.74","2598","48596.27197"
"2.915","2771","66997.83832"
"3.155","3009","71752.37486"
"3.33","3186","53775.76055"
"3.535","3412","127268.7707"
"3.765","3678","85205.49383"
"4.15","4126","89230.62432"
"4.34","4348","97430.13617"
"4.54","4583","96672.34622"
"4.73","4808","91648.6391"
"5.11","5253","91125.32264"
"5.29","5465","107325.3804"
"5.5","5715","106746.8094"
"5.68","5927","84227.84915"
"5.855","6133","101261.1568"
"6.08","6401","96902.70925"
"6.295","6655","120511.0701"
"6.475","6855","124375.6611"
"6.69","7090","157929.6868"
"6.925","7344","229577.9583"
"7.165","7609","249126.1808"
"7.38","7841","341303.202"
"7.585","8070","247246.6413"
"7.86","8369","182429.4636"
"8.135","8671","119264.2169"
"8.355","8918","143100.5091"
"8.515","9094","193005.3088"
"8.74","9349","470215.1698"
"8.905","9533","470141.9648"
"9.3","9983","490556.251"
"9.485","10190","511433.1658"
"9.92","10616","306757.5239"
"10.105","10796","142873.3725"
