Depth,Age,Influx
0.01,5079.763663,1.873072637
0.03,5106.351551,3.74510871
0.05,5132.939439,6.08498104
0.07,5172.82127,8.425198891
0.09,5212.703102,3.280036625
0.11,5225.997046,5.385645305
0.13,5239.29099,7.959090242
0.15,5265.878877,10.29896257
0.17,5292.466765,3.048191626
0.19,5305.760709,1.878946505
0.21,5332.348597,29.94981299
0.23,5358.936484,5.389100521
0.25,5372.230428,4.453773528
0.27,5398.818316,5.624055214
0.29,5412.11226,3.753055707
0.31,5438.700148,2.584156107
0.33,5465.288035,3.286601536
0.35,5491.875923,2.117701936
0.37,5531.757755,1.650902243
0.39,5558.345643,2.353347672
0.41,5611.521418,1.652975373
0.43,5704.579025,2.591066539
0.45,5744.460857,1.42251246
0.47,5784.342688,1.891385283
0.49,5831.986159,1.111181806
0.51,5869.383924,2.052218304
0.53,5928.151841,2.053745735
0.55,5954.86453,1.396394875
0.57,6013.632447,1.585935205
0.59,6083.08544,1.023701654
0.61,6141.853356,0.273177488
0.63,6195.278735,0.65059186
0.65,6227.333962,0.463412106
0.67,6264.731728,1.874480851
0.69,6286.101879,1.593016932
0.71,6312.814569,0.841659622
0.73,6334.18472,1.594266648
0.75,6355.554872,0.748764032
0.77,6392.952637,1.125761832
0.79,6515.831008,0.940942652
0.81,6547.886236,0.377737099
0.83,6563.913849,1.882256865
0.85,6595.969077,1.131038412
0.87,6633.366842,1.696049111
0.89,6654.736993,4.14077223
0.91,6681.449683,2.919382673
0.93,6686.792221,0.945386089
0.95,6713.50491,0.382041678
0.97,6729.532524,0.946496948
0.99,6788.30044,8.844566145
1.01,6804.328054,3.956647338
1.03,7530.913206,1.061332005
1.09,7605.708737,0.405230861
1.11,7653.791578,1.534557973
1.13,7733.929646,1.066608586
1.15,7771.327411,0.973574138
1.17,7787.355025,1.726042307
1.19,7835.437866,0.505208178
1.25,8188.045366,0.326359867
1.27,8236.128207,0.703635381
1.29,8273.525972,0.798613833
1.35,8310.923738,1.175611633
1.37,8615.448397,0.807500705
1.39,8642.161086,0.244156295
1.41,8754.354382,0.341078749
1.43,8781.067072,2.973953625
1.45,8807.779761,3.256667261
1.47,8829.149912,0.813055001
1.49,8973.398435,0.9108106
1.51,9000.111125,0.347466189
1.53,9229.840254,0.353437057
1.55,9256.552943,0.918170041
1.57,9283.265633,0.35482563
,9363.403701,0.73293429
,9390.11639,0.545615677
,9406.144004,0.734045149
,9945.74033,1.500121341
,9972.45302,3.004918822
,10298.34783,0.663227882
,10405.19859,0.571998581
,10528.07696,0.387179401
,10586.84488,11.48146788
,10661.64041,8.6632184
,10683.01056,1.70729656
,10859.31431,4.250052992
,10886.027,27.94037258
,10939.45238,5.0981939
,10976.85014,12.61968187
,10992.87776,8.29580176
,11024.93298,7.356570408
,11051.64567,4.067038959
,11056.98821,0.87095853
,11115.75613,2.282582705
,11137.12628,0.967047841
,11179.86658,0.404120002
,11227.94942,0.311363269
,11249.31957,0.781950947
,11276.03226,0.406619435
,11334.80018,0.408146866
,11356.17033,1.254760342
,11393.5681,0.315667848
,11495.07632,0.318306138
,11521.78901,0.977045572
,11559.18677,0.319972427
,11660.69499,0.980655864
,11692.75022,0.417450311
,11719.46291,2.20426714
,11740.83306,0.512706477
,11794.25844,1.548165997
,11863.71143,0.797919546
,11933.16442,1.081744041
,12018.64503,0.331914162
,12412,0
,13750,0
,14352,0
,15331,0
,17603,0
,18690,0
,18960,0
