Depth,Age,Influx
0.18861454,52,73.19082011
9.833676269,498,59.88827118
18.94290123,826,38.98244256
31.26714678,1190,186.5945348
41.44804527,1495,145.6011069
51.093107,1784,75.47411229
60.73816872,2071,249.728365
69.31155693,2331,130.7595952
79.49245542,2851,18.79057722
89.67335391,4058,16.04272143
100.9259259,5617,22.75625489
111.1068244,7057,1.836752147
120.7518861,24508,4.280814871
130.3969479,25724,12.70881813
140.0420096,26383,4.277620056
151.8304184,27229,9.613187462
162.0113169,27901,24.78918877
172.1922154,28616,23.18002401
182.9089506,29367,3.752229303
192.0181756,31678,0
