Depth,Age,Influx
0.01,296.5216347,1.255813953
0.03,461.1135572,1.11627907
0.05,744.1860465,2.790697674
0.07,1007.405035,0.139534884
0.09,1255.253572,0.139534884
0.11,1532.562142,0.558139535
0.13,1750.310211,0
0.15,2028.259216,0.558139535
0.17,2273.546011,0
0.19,2523.315855,0.418604651
0.21,2770.523956,0.279069767
0.23,3016.451187,0
0.25,3292.478886,0
0.27,3567.866149,0
0.29,3815.714686,0
0.31,4063.563223,0
0.33,4338.950486,0
0.35,4531.721571,0
0.37,4701.436977,0.976744186
0.39,4834.64756,0
0.41,4952.487692,1.674418605
0.43,5094.664372,2.651162791
0.45,5227.874955,1.674418605
0.47,5332.906376,0.558139535
0.49,5504.543089,1.953488372
0.51,5640.95585,1.674418605
0.53,5753.672497,2.23255814
0.55,5859.344354,1.255813953
0.57,6004.082776,2.790697674
0.59,6138.57423,2.093023256
0.61,6287.155266,4.465116279
0.63,6396.669735,4.325581395
0.65,6495.937237,1.953488372
0.67,6632.349998,1.674418605
0.69,6738.021855,0.697674419
0.71,6876.996358,0.976744186
0.73,6986.510827,0.837209302
0.75,7133.170556,2.790697674
0.77,7238.201977,1.674418605
0.79,7344.51427,0.837209302
0.81,7486.050514,1.674418605
0.83,7624.384582,1.813953488
0.85,7809.47044,0.139534884
0.87,8084.217268,0
0.89,8334.627547,0.558139535
0.91,8636.272665,0.279069767
0.93,8966.737381,0.279069767
0.95,9270.944242,0.558139535
0.97,9575.151103,0.837209302
0.99,10153.46436,0.837209302
1.01,10428.21118,0.697674419
1.03,10704.23888,0.837209302
1.05,11019.33315,3.488372093
1.07,11308.80999,0.558139535
1.09,11614.29772,1.11627907
1.11,11859.58452,0.558139535
1.13,12161.22964,0.279069767
1.15,12434.69559,5.860465116
1.17,12655.64584,6
1.19,12840.7317,4.325581395
1.21,13125.72549,0.418604651
1.23,13399.83189,0.139534884
1.25,13674.57871,0
1.27,13949.96598,0
1.29,14252.89197,0
1.31,14473.84221,0.139534884
1.33,14667.89417,0.418604651
1.35,14859.38438,0.139534884
1.37,15029.09979,1.11627907
1.39,15082.25593,0.697674419
1.41,15166.15298,0.976744186
1.43,15218.02826,0.279069767
1.45,15354.44102,0
1.47,15492.13465,0
1.49,15631.10915,0.279069767
1.51,15712.44446,0
1.53,15796.98195,0.418604651
1.55,15881.51943,0.837209302
1.57,15964.13561,0.837209302
1.59,16017.93219,0.558139535
