"Depth","Age","TRSH"
6,56,12.1145374449339
14,1057,12.3595505617978
22,2035,3.6036036036036
30,2855,6.96969696969697
38,3674,3.54609929078014
46,4492,4.26439232409382
54,5160,6
62,5578,10.6060606060606
70,5994,40.3508771929825
78,6407,16.9724770642202
86,6931,9.16030534351145
94,7523,12.75
102,8649,6.66666666666667
110,9954,8.63509749303621
118,11218,16.1616161616162
126,12475,30.2040816326531
134,13605,18.5595567867036
142,14622,17.156862745098
150,14846,12.8865979381443
158,15064,11.3756613756614
166,15261,5.37634408602151
174,15484,8.83977900552486
182,15749,3.96530359355638
