Depth,Age,TRSH
0.18861454,52,46.23960777
9.833676269,498,44.59453883
18.94290123,826,31.05214102
31.26714678,1190,55.36135229
41.44804527,1495,51.55165306
51.093107,1784,56.39671912
60.73816872,2071,39.06715727
69.31155693,2331,40.12881516
79.49245542,2851,36.31911593
89.67335391,4058,20.34041359
100.9259259,5617,44.38170647
111.1068244,7057,18.93822393
120.7518861,24508,22.16075624
130.3969479,25724,22.13822105
140.0420096,26383,11.2987942
151.8304184,27229,42.3698147
162.0113169,27901,25.3094232
172.1922154,28616,29.34197042
182.9089506,29367,15.25497216
192.0181756,31678,20.37171247
