Depth,Age,TRSH
16.51685393,-54,48.1642373
40.11235955,3,85.13264176
56.62921348,66,87.9422602
77.86516854,144,89.18635229
108.5393258,246,89.06565464
127.4157303,387,93.45286823
148.6516854,415,89.1629243
167.5280899,538,90.96910358
186.4044944,678,92.32320177
207.6404494,747,90.96963986
228.8764045,804,75.61684781
247.752809,1055,88.03379411
268.988764,1094,89.61473726
290.2247191,1273,89.84077781
309.1011236,1475,81.48666234
330.3370787,1619,92.32346991
349.2134831,1827,82.61579253
365.7303371,2097,82.8412968
410.5617978,2252,80.80961325
445.9550562,2708,83.29257349
467.1910112,3007,88.93688375
502.5842697,3484,85.09902091
523.8202247,3675,90.29178635
545.0561798,3901,88.93688375
561.5730337,4285,82.84102867
580.4494382,4875,94.5803896
606.4044944,5168,85.09928905
622.9213483,5448,81.26142621
644.1573034,5715,89.61420098
663.0337079,6158,86.90546833
686.6292135,6406,81.71189848
731.4606742,6633,78.55108473
757.4157303,6898,84.19619941
781.011236,7140,79.45444251
809.3258427,7333,72.68073392
828.2022472,7958,76.52074186
847.0786517,8149,78.32665301
868.3146067,8372,76.97121413
887.1910112,8762,72.45576592
927.3033708,8882,77.19698654
986.2921348,9033,79.00289769
1002.808989,9253,74.48771762
