Depth,Age,TRSH
4.805489244,-51,17.15677541
23.4682575,45,20.69010269
43.67413043,215,15.00605446
64.06273945,357,17.92489004
66.47666052,370,24.06980704
86.5595814,459,35.13065765
106.7259743,664,34.8234118
146.3616558,1231,28.6784948
167.5466332,1710,23.60893827
186.9561378,2182,25.91328214
207.3154188,2675,32.82631377
226.7316914,3150,34.2089201
246.4423721,3623,28.98574065
267.2979733,4117,35.28428057
286.7672619,4554,29.44660942
308.8140317,5874,40.9683288
327.0763598,7129,32.05819915
346.7374085,8348,33.5944284
365.6934568,8672,30.67559282
387.8112906,9040,32.51906792
403.8255137,9595,28.37124895
