Depth,Age,TRSH
0,223.4636872,1.012658228
10,670.3910615,2.53164557
30,1117.318436,22.27848101
50,1340.782123,2.025316456
70,3798.882682,7.594936709
90,4692.73743,6.075949367
110,5139.664804,3.544303797
130,5586.592179,5.569620253
150,7150.837989,7.594936709
170,14525.13966,6.582278481
185,15865.92179,6.075949367
210,37094.97207,12.65822785
230,38212.2905,6.075949367
250,38882.68156,9.113924051
275,40893.85475,18.2278481
297,43798.88268,26.32911392
330,44022.34637,17.72151899
345,46703.91061,28.86075949
361,47597.76536,24.81012658
385,48268.15642,20.75949367
415,49162.01117,42.53164557
435,49832.40223,36.4556962
455,50949.72067,34.43037975
475,51843.57542,11.64556962
497,52513.96648,30.88607595
515,53854.7486,27.84810127
535,54525.13966,36.96202532
555,55418.99441,35.44303797
575,55865.92179,37.46835443
597,56312.84916,13.16455696
615,56983.24022,21.26582278
635,58100.55866,20.25316456
655,58770.94972,16.20253165
675,59664.80447,37.46835443
697,60111.73184,21.7721519
715,61229.05028,19.24050633
735,62346.36872,7.594936709
755,62793.29609,10.63291139
775,63910.61453,7.088607595
797,64581.00559,2.53164557
815,67039.10615,8.607594937
835,68156.42458,8.101265823
855,69273.74302,22.78481013
875,70391.06145,6.075949367
897,70837.98883,9.620253165
919,71731.84358,9.113924051
939,72625.69832,11.13924051
959,73519.55307,31.89873418
978,74413.40782,38.98734177
1001,75083.79888,7.088607595
1016,78882.68156,12.65822785
1036,79776.53631,10.12658228
1056,82011.17318,7.594936709
1078,82905.02793,11.13924051
1115,84469.27374,1.012658228
1135,85139.6648,1.012658228
1155,86256.98324,10.63291139
1175,86703.91061,2.53164557
1197,86927.3743,2.025316456
