Depth,Age,TRSH
0,199,40.14778325
10,204,45.01108647
30,224,82.72506083
50,325,81.21827411
70,399,83.74384236
90,469,79.28176796
110,545,83.81201044
130,597,82.35294118
150,629,81.61209068
170,685,73.40153453
185,747,67.50629723
210,835,76.84478372
230,898,81.21827411
250,977,76.19047619
275,1088,73.48484848
297,1190,76.26262626
330,1310,82.58575198
345,1409,80.54862843
361,1569,76.21247113
385,1652,79.64824121
415,1729,72.02797203
435,1871,76.7816092
455,1995,83.17073171
475,2119,74.31192661
497,2235,72.72727273
515,2319,80.39702233
535,2427,87.99076212
555,2528,76.44230769
575,2622,82.23844282
597,2724,64.49438202
615,2918,72.02072539
635,3011,73.83863081
655,3150,74.54954955
675,3245,77.88944724
697,3383,76.6590389
715,3511,70.14563107
735,3616,71.39303483
755,3728,73.23600973
775,3867,80.24096386
797,3973,80.51044084
815,4120,75.90673575
835,4226,75.70754717
855,4351,74.51923077
875,4481,71.14914425
897,4598,76.60944206
919,4766,69.95073892
939,4859,77.67857143
959,4984,81.57303371
978,5106,82.15102975
1001,5294,83.0548926
1016,5456,79.01234568
1036,5596,79.64205817
1056,5825,77.0531401
1078,6030,72.88503254
1115,6266,72.95454545
1135,6684,70.25171625
1155,6787,65.80188679
1175,6935,63.55353075
1197,7139,67.85009862
1215,7348,65.02242152
1235,7638,58.62068966
1255,7777,63.34661355
1275,7955,65.29284165
1297,8233,75.59055118
1315,8459,79.86111111
1335,8728,75.28344671
1355,8941,78.86977887
1375,9215,75.20833333
1397,9472,57.38831615
1415,9828,57.99373041
1435,9977,46.37305699
1497,10101,59.51972556
1515,10453,31.83520599
1535,10640,51.89873418
1550,10727,54.40860215
1579,10854,42.25941423
1597,10921,33.28025478
