"Depth","Age","TRSH"
14,2380,22.5505443234837
16,2720,9.10364145658263
22,3540,16.6172106824926
25,3900,32
28,4093,13.5693215339233
31,4286,12.8824476650564
34,4592,4.92753623188406
37,4955,5.01043841336117
40,5318,8.78136200716846
43,5679,29.8076923076923
46,6035,42.5242718446602
49,6391,61.2244897959184
51,6806,24.1554054054054
52,7102,44.0734557595993
55,7990,40.5405405405405
58,8686,46.1038961038961
61,9220,40.4858299595142
64,9430,39.4366197183099
67,9640,55.421686746988
70,9850,25.1282051282051
73,10060,10.3723404255319
76,10270,6.65399239543726
79,10468,13.7362637362637
82,10641,7.98668885191348
86,10871,11.2737920937042
97,11506,29.4545454545455
103,11852,31.0344827586207
109,12198,26.2658227848101
115,12544,35.2342158859471
121,12890,13.8353765323993
127,13464,16.0520607375271
133,14039,25.2631578947368
139,14697,29.0806754221388
145,15398,35.1612903225806
151,16099,30.4780876494024
154,16450,36.3143631436314
157,16800,36.4620938628159
160,19555,38.177874186551
163,22311,63.0434782608696
166,25066,58.8235294117647
174,29127,65.8385093167702
180,29708,72.7272727272727
186,30288,84.2105263157895
192,30869,74.4152046783626
198,31449,67.2384219554031
204,32030,65.3919694072658
210,32611,33.7988826815642
222,33772,62.8318584070796
240,35514,55.7291666666667
258,37255,19.8726114649682
264,37836,27.4475524475524
270,38416,29.7637795275591
276,38997,29.6
282,39578,25.4545454545455
288,40158,16.3265306122449
294,40739,14.9405772495756
331,44319,13.5802469135802
337,44900,13.2530120481928
343,45480,10.2966841186736
355,46641,4.84544695071011
361,47222,5.3072625698324
367,47803,3.50404312668464
373,48383,5.1622418879056
379,48964,3.95348837209302
385,49544,5.53745928338762
401,51093,9.89180834621329
431,53996,14.5264847512039
447,55544,12.8872366790582
466,57382,18.9655172413793
478,58544,26.3710618436406
496,60285,6.32716049382716
514,62027,4.38432835820895
526,63188,4.79651162790698
538,64349,1.02739726027397
544,64930,0
550,65511,2.9126213592233
