Depth,Age,TRSH
0,5240,8.8
3.4,5599,9.1
8.8,6207,20
15.25,6855,11.9
20.4,7332,6.5
27.65,8446,3.1
34.05,9689,1.8
41.4,11202,1.6
46.3,12285,1.7
52.1,13456,1.6
57.9,14625,2.1
64.5,15789,3.1
70.25,16469,3.1
76.5,17264,3.4
84.25,18282,1.8
88.15,18794,1.7
94.5,19614,0.4
101.7,20544,2.9
106.8,21212,0.6
113.25,22041,2.3
119.15,22813,2.7
125.7,23640,1.5
130.65,24311,1
136.75,25082,4.3
141.75,25734,1.6
146.6,26385,0.6
152.7,27214,1.4
158.35,27885,2
160.5,28113,3.5
171.5,29191,4.8
176.25,29659,6.8
183.35,30329,7.3
191.25,31106,11.7
194.9,31463,11.9
202.6,32230,8.1
208.55,32785,7.5
214.35,33342,8.6
219.7,33830,8.5
224.15,34195,7.9
229.2,34558,5.9
234.35,34962,6.4
239.55,35394,8.3
245.65,35863,7
252.15,36349,8.1
258.8,36858,10.8
263.55,37360,8.5
