Depth,Age,TRSH
0.6,330,33.33333333
6,803,38.90480739
15.2,1683,37.76962419
24.7,2493,34.46184385
30.9,3041,35.95800525
45.9,4032,32
57.5,5297,31.07912063
75,7597,28.38311895
84.9,9552,21.539893
97.8,12483,35.86275157
106.5,14366,41.96943973
116.5,16712,40.86371024
126.5,18935,30.66935586
134.8,20983,22.53041363
145.2,23480,15.87281318
156.8,25941,14.39826134
165.5,26805,18.88142523
172.2,27091,18.77556984
176.3,27262,20.59732235
183.8,27562,17.40548554
197.9,28709,19.41402361
206.6,30389,17.49699479
217,32486,25.62283191
225.3,34213,30.32977241
236.1,36416,28.54461696
246.1,38495,29.10423972
257.3,40652,40.13967409
266.4,42477,39.60744841
277.2,44727,35.85110228
