Depth,Age,TRSH
16.51685393,95,70.625
40.11235955,308,75.625
56.62921348,506,73.125
77.86516854,693,68.125
108.5393258,1017,71.25
127.4157303,1200,70
148.6516854,1411,73.125
167.5280899,1589,70
186.4044944,1752,75
207.6404494,1983,71.875
228.8764045,2198,73.125
247.752809,2386,69.375
268.988764,2598,71.875
290.2247191,2771,73.75
309.1011236,3009,70
330.3370787,3186,70.625
349.2134831,3412,65.625
365.7303371,3678,66.875
410.5617978,4126,66.875
434,4348,71.25
445.9550562,4583,66.25
467.1910112,4808,67.5
502.5842697,5253,65.625
523.8202247,5465,70.625
545.0561798,5715,78.75
561.5730337,5927,78.75
580.4494382,6133,70
606.4044944,6401,70
622.9213483,6655,66.25
644.1573034,6855,69.375
663.0337079,7090,70.625
686.6292135,7344,67
716,7609,58
731.4606742,7841,50.625
757.4157303,8070,61.25
781.011236,8369,70.625
809.3258427,8671,68.75
828.2022472,8918,73.75
847.0786517,9094,70.625
868.3146067,9349,67.5
887.1910112,9533,60
927.3033708,9983,52.5
948,10190,47
986.2921348,10616,41.875
1002.808989,10796,41.25
