Depth,Age,TRSH
1.294964029,43,30.029431
5.827338129,214,22.89731851
10.79136691,355,25.77501635
14.46043165,417,24.98364944
21.15107914,524,36.53695226
25.03597122,578,38.48920863
33.66906475,689,32.84826684
45.97122302,841,43.20470896
50.71942446,900,26.98495749
54.38848921,966,34.37867888
59.56834532,1068,27.26291694
63.45323741,1147,32.37737083
74.67625899,1392,25.4381949
78.99280576,1516,22.3969915
83.52517986,1860,16.16742969
88.27338129,2369,26.99803793
93.45323741,2939,36.45846959
98.63309353,3441,37.98888162
103.5971223,3944,29.0353172
109.6402878,4539,35.60170046
112.6618705,4854,14.3263571
119.5683453,5583,9.986919555
123.4532374,5988,6.90647482
127.3381295,6373,19.31981687
132.5179856,6899,8.113145847
137.2661871,7423,8.253760628
147.4100719,14358,19.01896664
160.7913669,20570,13.06736429
167.0503597,21725,9.601046436
176.5467626,23399,13.54153041
