Depth,Age,TRSH
0,-35.892,57.448
10,44.939,81.577
30,89.846,72.275
50,143.73,69.949
70,170.68,40.587
90,197.62,46.983
110,206.6,53.669
130,206.6,76.345
150,242.53,73.728
170,260.49,75.763
185,278.45,66.46
210,314.38,71.693
230,368.27,60.065
250,404.19,68.786
275,449.1,62.1
297,485.02,66.46
330,520.95,58.321
345,547.89,66.46
361,610.76,60.646
385,655.67,64.716
415,682.61,53.379
435,691.59,60.646
455,727.52,58.03
475,754.46,62.1
495,772.42,37.099
515,808.35,52.216
535,853.26,39.424
555,880.2,56.286
575,925.11,39.424
595,943.07,71.112
615,1014.9,35.354
635,1041.9,59.193
655,1095.7,72.856
675,1158.6,49.599
695,1203.5,85.066
715,1257.4,77.798
735,1284.4,85.357
755,1329.3,85.647
775,1383.2,66.751
795,1437,65.007
815,1481.9,55.995
835,1544.8,69.949
855,1598.7,67.042
875,1661.6,90.008
895,1679.5,91.462
915,1715.5,86.229
935,1769.3,86.229
955,1787.3,90.008
975,1832.2,88.554
995,1859.2,78.089
1015,1877.1,69.077
1035,1958,90.299
1055,2011.8,82.159
1075,2074.7,51.344
1095,2146.6,69.077
1115,2191.5,69.368
1135,2236.4,54.541
1155,2281.3,48.436
1175,2317.2,52.797
1195,2344.1,20.819
1215,2442.9,75.763
1235,2478.9,72.565
1255,2541.7,44.367
1275,2568.7,59.193
1295,2604.6,44.367
1315,2631.5,58.321
1335,2685.4,57.739
1355,2694.4,77.507
1375,2730.3,73.728
1395,2784.2,78.67
1415,2811.2,76.635
1435,2847.1,82.45
1455,2910,77.507
1475,3008.8,38.843
1495,3071.6,76.054
1515,3098.6,64.135
1535,3116.5,67.623
1555,3170.4,61.809
1575,3206.4,84.194
1595,3305.1,46.692
1615,3350.1,66.751
1635,3395,42.913
1655,3430.9,39.715
1675,3493.8,39.134
1695,3502.7,35.064
1715,3547.6,52.797
1735,3565.6,52.216
1755,3592.5,70.24
1775,3619.5,53.379
1795,3682.4,57.448
1815,3718.3,81.577
1835,3745.2,78.089
1855,3790.1,41.459
1875,3826.1,60.646
1895,3888.9,44.076
1915,3915.9,46.983
1935,3924.9,53.379
1955,3996.7,54.832
1975,4086.5,53.96
1995,4158.4,53.669
2015,4185.3,76.635
2035,4239.2,73.438
2055,4293.1,75.182
2075,4338,73.147
2095,4409.8,32.738
2115,4454.8,69.077
2135,4508.6,78.961
2155,4562.5,45.82
2175,4607.4,35.645
2195,4670.3,55.704
2215,4724.2,18.493
2235,4769.1,22.273
2255,4805,27.505
2275,4957.7,19.075
2295,5092.4,18.784
2315,5155.3,17.621
2335,5209.2,21.11
2355,5245.1,10.935
2375,5281,14.423
2395,5290,19.947
2415,5361.9,21.4
2435,5415.7,19.656
2455,5550.5,23.145
2475,5631.3,20.819
2495,5685.2,23.435
2515,5793,19.947
2535,5972.6,0.46929
2555,6071.4,11.516
2575,6538.4,22.854
2595,6628.2,3.6671
2615,6682.1,28.668
2635,6816.8,5.9928
2655,7247.9,1.0507
2675,7373.7,18.784
2695,7490.4,0.46929
2715,7571.3,14.423
2735,7607.2,1.6321
2755,7656.6,8.0277
2775,7697,3.0857
2795,7741.9,2.2135
2815,8065.2,1.6321
2835,8123.6,0.46929
2855,8208.9,3.3764
2875,8298.7,0.46929
2895,8379.6,1.0507
2915,8442.4,5.9928
2935,8496.3,4.2485
2955,8550.2,4.8299
2975,8577.2,22.854
2995,8640,0.76
3015,8693.9,19.656
3035,8711.9,2.5043
3055,8774.7,1.3414
3075,8801.7,14.714
3095,8828.6,12.388
3115,8855.6,7.1556
3135,8918.4,3.0857
3155,9098.1,5.1206
3175,9134,33.61
3195,9169.9,1.6321
3215,9214.8,7.737
3235,9277.7,4.8299
3255,9367.5,8.3185
3275,9475.3,1.0507
3295,9852.5,1.6321
3315,9969.3,8.6092
3335,10050,4.2485
3355,10140,6.8649
3375,10167,1.9228
3395,10257,12.388
3415,10320,0.17858
3435,10391,6.5742
3455,10436,4.5392
3475,10490,21.4
3495,10571,15.295
3515,10661,0.46929
3535,10742,10.935
3555,10760,19.656
3575,10805,9.772
3595,10876,11.807
3615,10903,15.877
3635,10966,12.388
3655,11137,46.401
3675,11254,59.774
3695,11433,11.807
3715,11496,15.586
3735,11550,63.263
3755,11676,71.984
3775,11837,76.635
3795,12412,56.867
3815,13750,35.936
3835,14352,35.064
3855,15331,34.482
3875,17603,44.657
3895,18690,40.297
3915,18960,48.146
