"Depth","Age","Influx"
"0.52","8414","7712.358247"
"0.62","9219","7504.383535"
"0.67","9617","3552.837841"
"0.72","10004","7832.854152"
"0.77","10409","38257.45053"
"0.82","10817","76776.06025"
"0.83","10898","63630.71771"
"0.84","10982","40938.09815"
"0.89","11368","9470.047666"
"0.9","11437","4894.98286"
"0.93","11654","8555.156056"
"0.99","12102","18988.92391"
"1","12181","9408.81672"
"1.03","12456","15277.05272"
"1.04","12549","8114.701588"
"1.06","12729","12315.70547"
"1.08","12916","1244.53014"
"1.1","13099","1685.508907"
"1.13","13378","491.9354839"
"1.14","13471","1885.749693"
"1.21","14122","405.645331"
"1.26","14588","910.6521335"
"1.31","15060","7321.657228"
"1.39","15807","1409.502325"
"1.42","16087","3025.381625"
"1.56","16920","2284.64442"
"1.61","16997","1577.374865"
"1.67","17095","5236.750773"
"1.72","17174","2462.601337"
"1.77","17253","5798.071164"
"1.82","17331","8246.757039"
"1.85","17378","3769.616448"
"1.91","17469","3185.536092"
"1.96","17540","1212.211246"
"1.99","17582","951.5110048"
"2.04","17696","4874.585943"
"2.07","17771","1899.57423"
"2.09","17822","1341.103039"
"2.17","18021","978.2203326"
"2.22","18144","512.908046"
"2.27","18264","1029.122353"
"2.32","18375","1448.250959"
"2.35","18450","1759.120403"
"2.41","18610","723.6659881"
"2.46","18739","2191.753602"
"2.51","18899","1981.819387"
"2.61","19580","697.6554868"
"2.66","19918","1235.069006"
"2.71","20251","1514.577118"
"2.76","20585","685.2150509"
"2.81","20918","1695.743724"
"2.91","21592","330.4609818"
"2.96","21930","645.0390823"
"3.06","22321","3384.73977"
"3.17","22541","1124.358781"
"3.19","22583","1262.852913"
"3.24","22683","532.5966239"
"3.31","22819","744.9630376"
"3.36","22915","906.856803"
"3.41","23006","574.2608445"
"3.46","23101","2732.491599"
"3.51","23194","141.5916731"
"3.56","23313","8837.28415"
"3.63","23481","610.9743918"
"3.66","23552","2442.282966"
"3.71","23673","1475.782609"
"3.76","23788","1665.695652"
