Depth,Age,Influx
0.52,-67.56756757,0.870358883
0.62,-33.78378378,0.95463004
0.67,67.56756757,0.364352174
0.72,202.7027027,0.926261156
0.77,202.7027027,2.190898158
0.82,371.6216216,1.712956516
0.83,405.4054054,0.363972403
0.84,472.972973,0.223381227
0.89,506.7567568,1.347465029
0.9,641.8918919,2.752465346
0.93,709.4594595,1.122412811
0.99,844.5945946,1.965352237
1,844.5945946,1.234673081
1.03,945.9459459,4.157275777
1.04,1047.297297,1.543578708
1.06,1148.648649,6.124261029
1.08,1283.783784,0.503500222
1.1,1418.918919,0.390936135
1.13,1486.486486,1.205848471
1.14,1486.486486,2.498588518
1.21,1621.621622,2.386024432
1.26,1722.972973,1.374200899
1.31,1858.108108,2.076625103
1.39,1891.891892,1.121083613
1.42,2027.027027,2.77901133
1.56,2060.810811,1.205202861
1.61,2162.162162,2.891271599
1.67,2195.945946,2.132451421
1.72,2229.72973,2.385340844
1.77,2364.864865,4.09947465
1.82,2398.648649,9.382809039
1.85,2533.783784,3.340502563
1.91,2533.783784,1.87914425
1.96,2533.783784,8.146123172
1.99,2635.135135,2.32867903
2.04,2635.135135,4.633128679
2.07,2702.702703,2.890663966
2.09,2702.702703,8.033521109
2.17,2804.054054,3.73364137
2.22,2871.621622,2.525134502
2.27,3040.540541,1.288410659
2.32,3040.540541,12.58583455
2.35,3141.891892,9.775416166
2.41,3310.810811,0.192088107
2.46,3648.648649,2.271333629
2.51,3648.648649,7.386087727
2.61,3783.783784,5.08148617
2.66,3783.783784,3.592024812
2.71,3851.351351,0.219583518
2.76,3885.135135,1.39987341
2.81,4020.27027,0.219393633
2.91,4121.621622,9.268460029
2.96,4358.108108,8.39699981
3.06,4425.675676,0.528071397
3.17,4425.675676,3.928539781
3.19,4695.945946,0.218634091
3.24,4898.648649,0.134097095
3.31,5168.918919,9.070561428
3.36,5270.27027,8.620798785
3.41,5506.756757,5.472991962
3.46,5574.324324,12.61108931
3.51,5709.459459,11.90836129
3.56,5878.378378,0.301614026
3.63,5945.945946,1.116526362
3.66,6013.513514,0.132843851
3.71,6148.648649,2.49334768
3.76,6250,2.352718526
3.81,6452.702703,0.244762327
3.86,6554.054054,0.497575796
3.91,6587.837838,3.560769669
3.96,6824.324324,0.18813849
4.01,6824.324324,3.25137034
4.06,7060.810811,0.159769606
4.11,7060.810811,1.368200519
4.16,7195.945946,0.55306032
4.21,7195.945946,6.257978353
4.26,7297.297297,5.892524843
4.31,7398.648649,0.215595924
4.36,7702.702703,12.55249066
4.41,7905.405405,0.439850623
4.46,8141.891892,7.662067219
4.51,8277.027027,2.097512501
4.56,8378.378378,10.3877967
4.61,8445.945946,1.900601304
4.66,8479.72973,3.221406418
4.71,8581.081081,1.478903728
4.76,8648.648649,3.530350022
4.81,8750,0.804240775
4.86,8817.567568,3.92360276
4.91,8885.135135,10.6120514
4.96,9054.054054,7.661041838
5.01,9189.189189,2.237002342
5.06,9256.756757,6.143249573
5.11,9256.756757,2.602265966
5.16,9290.540541,0.129160073
5.21,9459.459459,8.419368314
5.26,9560.810811,1.112462814
5.31,9594.594595,3.782214064
5.36,9662.162162,1.140451927
5.41,9932.432432,4.962162162
5.46,10101.35135,0.521691246
5.51,10472.97297,0.999025255
5.56,11013.51351,1.026520666
5.61,11081.08108,0.633002089
5.66,11520.27027,2.206278878
5.71,11655.40541,0.941489968
5.76,11824.32432,2.093524907
5.81,11959.45946,0.379087284
5.86,11959.45946,3.751452624
5.91,12094.59459,0.463244509
5.96,12297.2973,2.458332806
6.01,12331.08108,1.362276093
6.06,12500,3.048268878
6.11,12702.7027,2.401670992
6.16,12804.05405,0.097107412
6.21,13310.81081,0
6.26,13952.7027,0.067713146
6.31,16351.35135,0.065016773
6.36,16520.27027,0.092929932
6.41,17263.51351,0.007785303
6.46,17533.78378,0.119893664
6.51,17837.83784,0.091448826
6.56,18682.43243,0.062396354
6.61,19729.72973,0.061219064
6.66,20641.89189,0.060193683
6.71,21418.91892,0.05932021
6.76,22331.08108,0.058294829
