Depth,Age,TRSH
24.4,689,84.75836431
28.8,814,95.01312336
39.8,1124,88.7063655
86,1681,85.83815029
109.5,2140,85.51724138
120,2345,89.06882591
83.8,2368,86.06060606
145.5,2844,90.71729958
161,3147,92.30769231
119,3362,83.80462725
180.5,3528,93.09309309
200,3909,88.96551724
219,4280,83.33333333
240,4691,79.01639344
259,5208,81.02189781
267.5,5447,82.25806452
278,5742,82.4742268
299,6332,88.53046595
314.5,6767,88.02816901
320,6922,85.80645161
325,7062,77.65667575
330.5,7217,69.23076923
338,7428,82.1969697
348.5,7782,87.27272727
356.5,8080,78.34101382
370,8582,78.0730897
380,8955,80
391,9364,85.82375479
400,9699,87.64940239
410,10072,92.69230769
420,10444,92.38095238
433,10928,88.8
450.5,11580,87.95180723
460,11933,91.15646259
468,12231,87.21804511
480,12678,78.00687285
498.5,13367,59.82905983
503.5,13553,59.60591133
513.5,13925,46.55172414
519,14130,68.62745098
524,14316,52.34042553
531.5,14596,29.62962963
