"Depth","Age","TRSH"
0,0,5.02092050209205
20,280,7.41626794258373
42,499,20.6521739130435
49,569,7.19512195121951
60,678,57.9234972677596
80,877,38.2113821138211
122,1295,79.1836734693878
130,1375,55.6149732620321
162,1693,30.1939058171745
180,1872,53.7634408602151
202,2091,30.625
242,2489,40.2135231316726
278,2847,59.7701149425287
302,3086,47.8813559322034
320,3265,51.9417475728155
342,3484,46.6666666666667
385,3912,45.3846153846154
401,4072,41.025641025641
422,4280,41.5254237288136
440,4460,35.7723577235772
462,4679,57.3863636363636
481,4868,34.0557275541796
495,5007,73.1884057971015
500,5057,29.874213836478
510,5156,47.4576271186441
520,5256,60.4519774011299
530,5355,32.0754716981132
542,5475,22.1258134490239
550,5554,45.2898550724638
560,5654,41.4705882352941
570,5753,31.6279069767442
581,5863,36.4055299539171
591,5962,37.5
602,6072,19.2419825072886
612,6171,34.8894348894349
620,6251,40.3389830508475
631,6360,34.2756183745583
640,6450,23.5142118863049
651,6559,38.9380530973451
662,6669,29.607250755287
685,6898,40.0497512437811
700,7047,51.8518518518519
701,7057,47.5728155339806
711,7156,51.7857142857143
720,7246,30.2325581395349
731,7356,62.6086956521739
740,7445,48.8721804511278
751,7555,45.1127819548872
770,7744,48.792270531401
781,7853,47.8991596638655
791,7953,39.8989898989899
800,8042,39.2694063926941
815,8191,37.6237623762376
825,8291,38.9473684210526
832,8361,56.6233766233766
841,8450,35.9832635983264
857,8976,19.7368421052632
875,9705,13.0434782608696
882,9988,5.06329113924051
898,10636,12.280701754386
902,10798,8.19672131147541
905,10920,10.4166666666667
915,11325,13.0841121495327
925,11730,6.42201834862385
