"Depth","Age","TRSH"
34,413,33.4012219959267
89,1116,92.0454545454545
138,1741,66.046511627907
148,1871,67.9715302491103
164,2076,22.0211161387632
169,2140,79.0760869565217
179,2268,84.375
200,2620,55.2845528455285
209,2804,67.8456591639871
218,3005,52.3715415019763
229,3255,75
239,3488,86.7768595041322
259,3947,89.4915254237288
269,4175,82.9479768786127
279,4400,80.9677419354839
288,4608,86.2464183381089
298,4840,62.4078624078624
308,5069,73.2558139534884
320,5358,90.0990099009901
330,5600,94.6428571428571
360,6316,90.9756097560976
370,6557,66.5322580645161
378,6751,68.6274509803922
390,7038,86.2573099415205
409,7483,81.2977099236641
419,7715,87.7622377622378
430,7976,80.1302931596091
438,8166,72.0430107526882
450,8456,55.6213017751479
470,8928,75.8490566037736
480,9169,58.4541062801932
490,9412,65.615141955836
500,9651,71.5542521994135
510,9887,81.7427385892116
520,10121,63.8190954773869
530,10359,75.2293577981651
540,10594,75.9717314487633
550,10825,74.8633879781421
560,11090,56.9007263922518
567,11472,60.8782435129741
575,11912,72.8937728937729
577,12023,60.9876543209877
587,12581,72.3502304147465
590,12749,65.5705996131528
592,12848,49.3630573248408
595,13000,43.1122448979592
607,13561,54.337899543379
615,13867,42.5339366515837
620,14038,34.7222222222222
622,14097,35.0943396226415
630,14336,28.0392156862745
640,14626,15.9713945172825
650,14884,24.8071979434447
652,14925,11.9127516778523
655,14987,15.6923076923077
660,15090,7.66756032171582
665,15191,6.08695652173913
670,15131,5.8252427184466
672,15293,5.52763819095477
680,15395,20.979020979021
685,15536,15.7142857142857
692,15654,16.8316831683168
698,413,33.4012219959267
