"Depth","Age","TRSH"
10,129,17.6391683433937
30,386,28.1420765027322
40,515,6.36942675159236
55,708,0
65,837,34.3283582089552
75,966,0
85,1108,20.9302325581395
95,1264,23.4042553191489
105,1420,75
115,1577,33.6448598130841
125,1733,56.9037656903766
135,1889,73.049252905368
145,2045,38.0208333333333
155,2201,44.8362720403023
160,2279,48.4628021591176
165,2357,38.5906040268456
175,2514,37.9423194927388
185,2670,35.7601713062098
190,2748,45.5962587685113
195,2826,15.1785714285714
205,2982,7.79220779220779
215,3138,7.54716981132075
225,3294,19.6157735085945
245,3607,13
255,3763,23.1506849315068
275,4075,24.3550051599587
285,4231,8.42391304347826
295,4388,24.812030075188
305,4544,28.8461538461538
315,4700,10.1466992665037
325,4895,43.6781609195402
335,5090,16.751269035533
345,5285,30.379746835443
355,5480,50
365,5676,46.8354430379747
375,5871,31.8746303962153
385,6066,29.3333333333333
395,6261,33.3333333333333
405,6456,24.390243902439
415,6651,31.75
420,6749,32.258064516129
425,6846,39.4736842105263
435,7041,13.0434782608696
445,7237,9.44881889763779
455,7432,20.7343412526998
465,7627,13.3333333333333
470,7724,15.929203539823
475,7822,26.0869565217391
485,8017,19.8019801980198
495,8212,12.258064516129
505,8407,5.88235294117647
515,8602,51.8518518518519
520,8700,14.6321070234114
525,8798,50.7122507122507
530,8895,32.8947368421053
535,8993,29.8507462686567
540,9090,16.6524338172502
543,9149,11.3160518444666
545,9188,30
555,9383,8.19672131147541
565,9578,72.3684210526316
575,9773,63.4946677604594
585,9968,83.2167832167832
595,10163,41.0958904109589
