"Depth","Age","TRSH"
27,557,94.3965517241379
44,926,83.1683168316832
75,1604,51.7543859649123
95,2041,32.0359281437126
113,2436,51.1335012594458
125,2746,42.6415094339623
132,3001,39.6363636363636
154,3807,33.9483394833948
172,4468,38.2089552238806
185,4943,22.3175965665236
195,5285,21.7864923747277
210,5707,24.9240121580547
221,6010,14.760147601476
240,6544,10.7416879795396
242,6599,12.1848739495798
250,6822,11.5702479338843
270,7383,30.5970149253731
290,7949,12.4661246612466
320,8621,9.06389301634472
360,9426,26.9387755102041
380,9832,21.2230215827338
400,10231,27.683615819209
410,10434,32.5842696629214
430,10949,29.5302013422819
440,11205,14.2857142857143
450,11467,13.5802469135802
460,11728,10.5263157894737
