"Depth","Age","TRSH"
0,-37,83.1509846827133
11,59,78.135593220339
23,168,89.1891891891892
56,471,71.5139442231076
62,522,74.6527777777778
68,571,77.6699029126214
74,620,72.6996516931855
87,725,71.8213058419244
99,933,82.9588014981273
103,1102,95.6340956340956
105,1194,82.3899371069182
108,1455,74.2857142857143
111,1707,90.7042253521127
115,2024,87.3589164785553
117,2180,91.7151162790698
121,2496,89.2405063291139
125,2830,89.4009216589862
128,3068,89.4800483675937
131,3309,81.5634218289086
133,3471,80.379746835443
137,3797,91.2854030501089
140,4042,87.9699248120301
143,4273,84.070796460177
149,4577,68.4615384615385
156,4849,97.625
162,5075,96.29057187017
168,5301,88.2736156351792
174,5532,78.4761904761905
181,5807,55.0531914893617
186,6086,93.8924691739775
189,6274,90.9871244635193
194,6587,94.5701357466063
200,6962,79.1666666666667
204,7206,79.683698296837
206,7329,83.5016835016835
210,7580,51.5384615384615
215,7878,34.5323741007194
219,8124,84.1880341880342
224,8426,75.187969924812
231,8875,31.3152400835073
237,9266,14.3410852713178
243,9659,3.35365853658537
249,10062,7.10227272727273
257,10598,8.7431693989071
260,10796,20.8510638297872
265,11126,17.4863387978142
270,11462,13.2075471698113
274,11727,16.7420814479638
280,12122,32.6164874551971
282,12253,6.53061224489796
285,12451,14.0909090909091
286,12514,25.2941176470588
290,12762,16.6666666666667
295,13062,25.382932166302
298,13249,34.2391304347826
299,13310,50
302,13490,24.3243243243243
303,13551,25.2747252747253
