"Depth","Age","TRSH"
1,63,43.9929328621908
5,313,45.7661290322581
15,939,39.7590361445783
25,1422,55.8317399617591
35,1689,54.2635658914729
45,1956,55.3359683794466
50.5,2103,48.9399293286219
55,2224,43.1965442764579
59,2330,48.062015503876
65,2491,51.6981132075472
71,2651,46.9635627530364
75,2758,44.7418738049713
80.5,2905,48.991935483871
85,3025,59.7979797979798
89.5,3145,52.1560574948665
95,3292,50.2923976608187
101,3453,59.3117408906883
105,3560,53.1062124248497
115,3861,47.7272727272727
125,4213,50.109409190372
135,4565,38.8888888888889
145,4917,34.6693386773547
155,5269,37.8048780487805
