"Depth","Age","TRSH"
0,0,72.8358208955224
10,306,76.8072289156626
20,613,89.5953757225434
30,919,89.5765472312704
40,1226,79.6344647519582
50,1532,78.2467532467532
60,1838,76.4705882352941
70,2145,86.2365591397849
80,2451,77.7777777777778
90,2758,88.01261829653
100,3064,86.3192182410423
110,3370,63.3986928104575
120,3677,83.0860534124629
130,3970,90.8814589665653
138,4193,80.3225806451613
150,4528,96.3815789473684
160,4806,93.7313432835821
170,5086,94.006309148265
180,5364,96.25
190,5644,93.6936936936937
200,5922,95.8990536277603
210,6202,92.741935483871
220,6480,95.114006514658
230,6760,88.7955182072829
240,7038,93.2038834951456
250,7318,80.6962025316456
260,7596,77.5
270,7876,72.8658536585366
280,8154,68.6520376175549
290,8434,77.6699029126214
300,8712,62.2950819672131
310,8992,77.0212765957447
315,9131,76.4705882352941
320,9270,65.6862745098039
325,9410,37.6543209876543
327,9466,78.5714285714286
330,9550,56.25
