"Depth","Age","TRSH"
0,-47,59.5959595959596
10,137,73.463687150838
20,337,33.4379905808477
30,530,2.96868042155262
40,728,23.8544474393531
50,924,49.1954022988506
60,1123,43.7923250564334
70,1310,27.6408450704225
80,1506,25.034965034965
90,1676,20.9511568123393
100,1755,19.376026272578
110,1834,22.7459016393443
120,1911,51.0989010989011
130,1990,4.82758620689655
140,2067,63.265306122449
150,2143,39.7590361445783
160,2224,33.3333333333333
170,2364,46.4646464646465
180,2582,60.4123711340206
190,2810,57.6540755467197
200,3040,52.2727272727273
210,3268,80.4487179487179
220,3499,90.9547738693467
230,3730,63.0252100840336
240,3951,27.7588168373151
250,4176,51.4506769825919
260,4403,87.3076923076923
270,4589,82.9652996845426
280,4684,83.0128205128205
290,4783,63
300,4881,93.75
310,4981,77.970297029703
320,5081,86.6666666666667
330,5178,60
340,5277,58.2474226804124
350,5374,77.8846153846154
360,5468,83.2335329341317
370,5564,56.3694267515924
380,5674,60
390,5785,36.5183246073298
400,5891,73.5751295336788
410,6002,62.962962962963
420,6107,81.7480719794344
430,6216,82.2674418604651
440,6328,58.9327146171694
450,6439,84.3657817109144
460,6547,62.1495327102804
470,6691,79.5774647887324
480,6920,50.7216494845361
490,7161,49.8727735368957
500,7405,25.1599147121535
510,7641,29.0265486725664
520,7874,43.4684684684685
530,8111,21.7566478646253
540,8359,56.4593301435407
550,8600,55.786350148368
560,8842,28.6298568507157
570,9089,35.1297405189621
580,9328,38.3177570093458
581,9352,43.9716312056738
588,9522,59.1666666666667
598,9755,47.766323024055
608,9978,43.0025445292621
618,10151,45.6521739130435
628,10311,43.302752293578
638,10472,42.4682395644283
648,10638,35.6291390728477
658,10804,18.7954309449637
668,10970,41.2520064205457
678,11133,37.3511904761905
688,11298,39.1071428571429
690,11331,81.5331010452962
700,11497,53.125
710,11721,55.7926829268293
720,11978,56.4516129032258
730,12230,53.1553398058252
740,12492,84.2857142857143
750,12747,28.6337209302326
760,13016,27.3351648351648
770,13281,61.9186046511628
780,13534,42.2429906542056
790,13741,12.7151051625239
794,13803,45.4022988505747
804,13961,62.5730994152047
809,14039,31.8952234206471
814,14118,32.3574730354391
819,14197,63.0555555555556
824,14278,38.3363471971067
829,14360,60.1010101010101
834,14443,27.1637816245007
839,14525,18.7956204379562
843,14589,0.840336134453782
849,14684,3.1390134529148
854,14808,4.48717948717949
859,14940,4.16666666666667
864,15111,5.80762250453721
869,15291,2.1505376344086
874,15472,1.32547864506627
879,15657,3.47923681257015
884,15838,3.00715990453461
