Depth,Age,TRSH
1.268685944,-61,36.1973991
18.76873932,64,45.21571387
24.35768599,115,45.43933444
29.4232138,160,55.12292191
33.75201362,199,49.88789123
38.11034004,237,43.16158165
42.89467398,278,36.91412941
47.16756712,315,36.86422522
52.16745695,359,43.11630151
57.75916023,406,47.10563343
62.76100232,449,44.89994663
68.18936454,496,63.85913318
72.85207475,535,65.33920374
77.2491901,573,65.471295
86.64045028,652,72.48322284
95.93773741,742,62.1969966
101.6571966,797,65.35650334
106.9552781,852,45.71902589
112.4787831,918,52.11517106
117.637286,994,40.97569239
122.4853247,1077,50.41028757
127.3651941,1161,28.53088528
132.4454348,1248,28.59281144
138.4810268,1351,47.83097747
142.8391759,1421,35.4134864
148.3803658,1513,34.49599554
151.9827361,1567,41.08244378
156.9126308,1644,26.65242564
159.5979888,1684,31.86312625
163.7091414,1796,33.27947156
166.7709123,1893,18.84605313
168.9320498,1983,34.45932163
173.1158942,2103,27.64743875
176.9373159,2195,26.27056124
181.7938726,2319,47.43350948
191.3838545,2551,37.83810919
200.9511128,2796,4.46685731
211.57109,3043,6.94459227
214.8049981,3116,28.54231834
218.6850422,3197,34.97610833
223.3666724,3292,29.8746697
226.8516616,3362,17.77333628
231.8613018,3462,13.42331071
237.4467911,3575,21.48498901
241.1708015,3651,40.58580381
247.4127252,3822,32.2945205
253.0913669,4038,16.28936116
257.4070925,4227,22.11350549
261.8564009,4426,43.56463944
266.6068129,4648,39.28811709
271.5407512,4860,37.45292206
274.9183605,5004,44.38843005
279.8584746,5239,2.23242065
284.9765444,5366,3.35011108
289.4077971,5460,12.57505916
294.5712815,5574,16.19650673
299.8132246,5690,11.53612881
305.0141701,5807,7.78760524
308.9643266,5897,4.92975013
313.7470382,6005,7.24222127
320.4670861,6145,4.71083434
326.4268398,6292,5.97332171
331.3801044,6476,1.44506924
336.0785579,6668,6.26314221
341.3569422,6879,3.81738199
345.3704899,7039,12.74614721
353.3594208,7368,7.94668723
