"Depth","Age","TRSH"
1.5,78,67.1698113207547
3,214,69.2307692307692
5,395,68.8212927756654
7,563,71.2230215827338
9,736,70.2602230483271
11,917,62.1794871794872
13,1106,73.0769230769231
15,1295,64.5569620253165
17.5,1520,79.296875
19,1655,67.9389312977099
21,1837,62.1908127208481
22.5,1976,70.479704797048
26.5,2306,70.7746478873239
27.5,2369,73.9413680781759
29,2465,71.2177121771218
33,2713,69.6850393700787
39.5,3120,75.3676470588235
41,3192,67.3640167364017
45,3347,65.4676258992806
49,3494,63.2850241545894
51,3567,66.5354330708661
53,3641,72.8888888888889
57,3784,67.4418604651163
59,3858,56.3318777292576
63,4005,72.0754716981132
68.5,4204,70.9090909090909
71,4294,70.9163346613546
73,4367,68.5714285714286
75,4440,56.0553633217993
83,4734,65.1452282157676
87,4878,76
90,4987,71.875
93,5094,76.8867924528302
95,5166,61.71875
97,5238,64.3776824034335
101,5380,70.7920792079208
105.5,5529,75.6272401433692
107.5,5585,71.6312056737589
111,5679,66.5178571428571
115,5786,63.573883161512
121,5946,67.4911660777385
125,6055,69.0376569037657
129.5,6174,74.7440273037543
135.5,6334,71.2328767123288
139,6426,61.6161616161616
145,6591,71.7770034843206
149.5,6709,63.4057971014493
151.5,6762,61.4285714285714
155,6858,58.5714285714286
161.5,7028,61.6197183098592
167.5,7181,69.4244604316547
171.5,7283,68.2142857142857
181.5,7536,64.2156862745098
184.5,7611,70.9677419354839
188.5,7714,77.2241992882562
191,7777,69.0376569037657
192.5,7815,65.4545454545455
194.5,7865,72.7586206896552
196.5,7915,73.8515901060071
198.5,7966,72.6950354609929
203,8082,75.3731343283582
205,8133,68.4782608695652
207,8206,69.5501730103806
207.5,8225,65.5913978494624
212,8446,70.979020979021
219.5,8939,39.2857142857143
225.5,9342,52.158273381295
231.5,9633,52.158273381295
237.5,9820,58.9830508474576
241.5,9940,60.1503759398496
245.5,10064,54.4483985765125
