Depth,Age,TRSH
0,993,86.72250918
17.86765633,1201,84.7206248
37.01054978,1440,79.13423541
58.27134986,1719,85.88694312
77.26743348,1970,85.80427704
97.17979756,2224,86.03619455
122.8560459,2555,81.86957142
143.1609994,2808,80.04161049
160.2861589,3025,82.07229098
169.353425,3149,85.1726536
179.2854071,3279,80.58052146
191.1725603,3428,81.84430871
203.3952199,3582,80.34785433
214.6479604,3725,80.86602278
225.052347,3853,82.63417233
234.6877598,3974,81.33175906
243.2063036,4080,77.19353764
256.2749802,4239,79.28071266
261.7879867,4306,81.1613992
275.068739,4460,73.50403935
286.7600462,4649,82.3376083
294.0530013,4798,74.93656947
304.5507925,5017,83.31590506
313.2895885,5202,77.9305246
326.7265104,5502,81.95866203
336.5183922,5709,74.26999585
347.5100545,5940,77.53076831
356.1838674,6099,79.75315953
368.8959451,6327,76.29051396
380.4763058,6536,76.12189605
392.7015802,6769,79.36740566
401.4416031,6939,79.2513721
412.001802,7144,82.28705391
421.5338885,7330,74.91509524
431.2693287,7512,74.68954825
442.894073,7739,68.92246129
453.931316,7950,72.21737956
463.1913577,8130,73.74988231
476.9847749,8402,77.92630846
486.970383,8594,75.24762737
497.292226,8773,76.65894461
509.0410609,8994,74.85089824
518.0473016,9172,68.53237219
530.4172646,9416,72.35615711
539.6131051,9581,71.88673754
547.0343626,9714,69.5586303
554.8021633,9849,69.25679789
568.7759175,10106,74.42479923
580.6789905,10334,68.03436485
591.6872065,10538,65.24345522
601.3463891,10718,72.15195844
611.1630103,10887,69.24482052
626.8329427,11084,66.29543055
638.4312324,11222,69.284309
648.4540269,11350,64.47961245
657.0356318,11460,77.09187527
665.123868,11564,72.12330586
669.1773899,11616,70.31252088
681.5555975,11768,59.10949547
687.9773501,11846,54.3673485
690.8902278,11882,52.01579281
697.883252,11952,61.55086768
696.6886443,11968,63.04688237
707.2028155,12089,59.61627103
712.4377177,12155,51.0005806
720.1620709,12250,41.92991889
726.1528809,12322,62.00109116
729.5835008,12369,53.67137869
735.4300386,12433,47.49903292
740.7202941,12498,37.95319671
751.3891538,12626,35.8161305
760.8625859,12746,37.22545553
772.176353,12872,46.94592981
779.8475093,12965,54.53575854
788.6884801,13075,61.06918835
796.9673771,13175,52.81945318
804.1605023,13258,52.77973692
809.8845257,13328,50.60118259
814.5755492,13387,58.98203456
819.296188,13442,55.72520467
826.4877122,13526,64.71542557
831.0666716,13584,63.32212418
836.9906256,13651,71.94150637
844.5119834,13738,64.99534089
850.1058133,13800,66.6897423
854.3308266,13853,70.27113834
859.4442985,13917,69.86861826
862.1924788,13952,71.19634067
869.7460704,14035,68.61166424
876.6499103,14101,72.48455675
889.7274515,14241,68.2496461
902.5134598,14373,63.97102845
913.2162753,14477,80.65462219
921.9164202,14576,76.53012476
932.3261428,14675,72.40635851
941.3144171,14763,72.09195996
949.9705517,14854,69.13205275
987.2802225,15209,60.49541066
1005.573283,15391,68.20447981
1016.6017,15493,72.25836886
1028.483596,15607,67.6770993
1037.686104,15696,73.20085286
1075.058489,16019,76.91132836
1116.894993,16375,72.5012122
1156.965858,16700,74.13915495
1176.793766,16854,49.07574085
1297.280187,17680,64.44098298
1335.918499,17937,43.84722042
1377.536785,18222,68.35043448
1436.970251,18624,66.85976768
1556.68874,19426,59.42797735
1595.10763,19679,62.18489902
1626.458744,19885,65.47788554
1718.042419,20482,61.65465356
1745.379669,20679,64.19791006
1767.718309,20834,65.31661418
1847.860592,21388,63.59992098
1864.559352,21496,68.6793631
