"Depth","Age","TRSH"
1,-20,28.9676425269646
6,141,28.169014084507
8,206,31.8910256410256
10,270,34.0604026845638
11.5,337,29.4027565084227
13.5,427,28.6096256684492
15,495,11.1668757841907
16.5,674,31.5040650406504
18.5,910,25.1592356687898
20,1088,13.659793814433
21,1219,15.8823529411765
25,1747,18.6170212765957
26,1879,27.8538812785388
30,2408,14.0155728587319
35,2659,18.7584345479082
40,2878,14.4951140065147
45,3096,17.7809388335704
50,3310,20.4545454545455
55,3526,22.9086229086229
60,3740,24.0249609984399
65,3960,22.4422442244224
70,4175,28.4403669724771
75,4389,22.0414201183432
80,4603,16.2988115449915
85,4756,19.1387559808612
90,4891,10.3202846975089
95,5020,9.79228486646884
106,5300,14.1158989598811
109,5376,18.7039764359352
120.5,5668,11.9346733668342
128,5857,13.1403118040089
133,5987,10.4347826086957
138,6120,11.3022113022113
142,6248,9.94318181818182
148,6473,10.0478468899522
158,6841,5.40254237288136
168.5,7233,7.45341614906832
173,7402,28.5123966942149
178,7584,7.69230769230769
188,7953,8.93719806763285
193,8143,6.84210526315789
198,8330,28.2548476454294
203,8518,7.17741935483871
208,8703,20.9621993127148
212,8850,6.62323561346363
218,9065,34.5070422535211
222,9219,26.5822784810127
225,9345,39.4520547945205
228,9648,33.641975308642
230,9847,34.6793349168646
233,10155,34.6938775510204
235,10358,48.6988847583643
238,10664,50.9090909090909
243,11168,41.871921182266
245,11369,38.5135135135135
251,11957,45.1298701298701
253,12109,47.4820143884892
258,12480,43.4782608695652
259.5,12591,44.9838187702265
265.5,13021,31.5789473684211
270.5,13384,39.0510948905109
275.5,13738,35.7771260997067
280.5,14108,49.0445859872611
285.5,14464,39.4886363636364
290,14789,49.3548387096774
290.5,14826,47.8609625668449
291,14862,45.2442159383033
291.5,14899,42.5968109339408
295.5,15194,37.1517027863777
300.5,15572,26.2857142857143
305.5,15971,45.8563535911602
