"Depth","Age","TRSH"
25,142,72.5752508361204
30,182,83.1715210355987
40,259,72.3905723905724
45,290,80
65,392,79.1530944625407
70,415,75.6578947368421
74,434,78.4053156146179
85,485,81.063122923588
90,509,72.5752508361204
100,557,77.7408637873754
110,608,65.4723127035831
120,670,67.5496688741722
130,731,75.503355704698
140,791,76.5676567656766
150,852,73.4006734006734
154,875,79.2642140468227
160,911,72.8813559322034
170,972,79.734219269103
180,1033,74.7508305647841
190,1093,77.7003484320557
200,1155,61.2794612794613
210,1214,73.8562091503268
220,1276,69.9029126213592
231,1341,78.4565916398714
240,1396,80.5732484076433
250,1453,74.1324921135647
255,1479,68.013468013468
260,1505,72.4590163934426
270,1557,74.6575342465753
280,1608,70.5882352941177
290,1660,77.6699029126214
300,1712,71.4285714285714
310,1763,72.1407624633431
320,1825,77.0392749244713
330,1890,78.8059701492537
340,1954,68.3076923076923
350,2017,76.6666666666667
360,2083,81.8181818181818
370,2147,79.933110367893
380,2212,79.2792792792793
390,2276,73.2484076433121
400,2342,77.0491803278689
410,2408,74.7634069400631
420,2474,71.5568862275449
430,2544,76.9230769230769
440,2614,76.0942760942761
450,2684,76.6483516483516
460,2751,69.4704049844237
470,2820,68.0379746835443
480,2889,67.4157303370787
490,2959,62.0795107033639
500,3036,67.3716012084592
510,3117,61.0119047619048
520,3198,68.3168316831683
530,3278,64.1399416909621
540,3358,58.1661891117478
550,3439,62.7329192546584
560,3517,63.6645962732919
570,3599,60.5678233438486
580,3681,62.6865671641791
590,3761,62.3456790123457
600,3842,63.5782747603834
610,3922,68.2432432432432
620,4005,67.1186440677966
630,4081,69.1525423728814
640,4154,62.1538461538462
650,4227,70.1754385964912
660,4302,66.6666666666667
670,4376,68.7919463087248
680,4451,66.5605095541401
690,4527,69.6245733788396
700,4601,70.1639344262295
710,4676,66.3299663299663
720,4749,69.6969696969697
728,4806,70.9342560553633
730,4821,74.2049469964664
740,4896,66.8810289389068
750,4959,72.7586206896552
760,5011,71.1805555555556
770,5062,79.8561151079137
780,5113,73.8007380073801
790,5164,73.5191637630662
800,5216,75.4385964912281
810,5268,73.5395189003436
820,5319,75.7142857142857
830,5371,78.1481481481482
840,5425,74.6376811594203
850,5480,77.992277992278
860,5533,59.1623036649215
870,5586,68.1967213114754
880,5641,81.0276679841897
890,5696,75.2767527675277
900,5752,67.9487179487179
910,5804,70.0680272108844
920,5859,70.1342281879195
930,5928,71.2374581939799
940,5997,74.8251748251748
950,6065,71.043771043771
960,6133,72.7574750830565
970,6202,66.3636363636364
980,6268,67.7215189873418
990,6336,72.4832214765101
1000,6404,62.2478386167147
1010,6472,74.1721854304636
1020,6540,76.6891891891892
1030,6614,76.271186440678
1040,6687,68.6708860759494
1050,6760,70.3333333333333
1060,6832,73.3108108108108
1070,6905,69.7749196141479
1080,6977,72.9641693811075
1090,7051,63.0177514792899
1100,7124,68.8271604938272
1110,7198,71.1598746081505
1120,7272,75.7575757575758
1130,7324,75.7679180887372
1140,7377,75.6578947368421
1150,7428,72.4590163934426
1160,7479,72.6384364820847
1170,7530,71.4285714285714
1180,7582,76.510067114094
1190,7634,77.9661016949153
1200,7685,80.8664259927798
1210,7733,79.9319727891156
1220,7777,77.9310344827586
1230,7822,76.1744966442953
1240,7867,73.4426229508197
1250,7912,71.2460063897764
1260,7957,73.2258064516129
1269,7998,82.3104693140794
1271,8007,77.8169014084507
1280,8047,76.8456375838926
1290,8092,74.0384615384615
1300,8135,76.0942760942761
1310,8185,74.9163879598662
1320,8240,73.6677115987461
1330,8295,71.2121212121212
1340,8348,72.1875
1350,8401,73.186119873817
1360,8456,66.3013698630137
1370,8509,75.0830564784053
1380,8564,72.4458204334365
1390,8617,71.6012084592145
1400,8671,68.4210526315789
1410,8724,72.4137931034483
1420,8780,75.5700325732899
1430,8834,65.2421652421652
1440,8889,67.6795580110497
1450,8943,63.1436314363144
1460,8998,67.4094707520891
1470,9052,59.1397849462366
1480,9106,51.6252390057361
1490,9160,51.1022044088176
1500,9214,48.5401459854015
1503,9230,48.1751824817518
