"Depth","Age","TRSH"
0.5,5,3.37078651685393
60.5,561,32.9218106995885
89.5,831,44.8979591836735
109.5,1016,3.86266094420601
125.5,1165,5.39419087136929
140.5,1304,7.47863247863248
160.5,1489,2.37388724035608
180.5,1675,6.25
200.5,1861,5.69620253164557
220.5,2046,24.7826086956522
239.5,2222,6.77966101694915
260.5,2417,16.0714285714286
280.5,2603,5.08905852417303
300.5,2788,5.98290598290598
320.5,2974,7.74193548387097
340.5,3230,11.8773946360153
359.5,6089,4.85436893203883
385,9925,0.541516245487365
722.5,10890,1.22377622377622
