"Depth","Age","TRSH"
120,4347,88.2629107981221
140,4556,86.9706840390879
160,4765,91.9831223628692
180,4960,92.6470588235294
200,5140,93.687707641196
220,5328,92.2818791946309
240,5417,87.6971608832808
260,5501,92.4479166666667
280,5588,92.1311475409836
300,5674,90.1492537313433
320,5760,88.385269121813
340,5846,82.4242424242424
360,5932,93.8983050847458
380,6016,93.5135135135135
420,6185,95.114006514658
440,6274,89.5765472312704
460,6363,90.0621118012422
480,6469,88.5521885521886
520,6718,94.7019867549669
540,7139,91.4285714285714
560,7558,93.4210526315789
580,7993,92.358803986711
600,8444,91.796875
620,8893,92.9178470254957
640,9349,92.3333333333333
660,9812,95.0437317784257
680,10124,92.5149700598802
700,10287,93.6102236421725
720,10446,89.2351274787535
740,10554,90.4907975460123
760,10668,94.3452380952381
780,10807,95.3703703703704
800,10974,94.6031746031746
820,11141,94.4615384615385
860,11559,94.5454545454545
870,11663,91.9003115264798
880,11720,94.7368421052632
910,11893,92.8395061728395
930,12003,96.4809384164223
960,12162,94.0298507462687
990,12386,91.5831663326653
1010,12556,94.1176470588235
1040,12815,93.75
1050,12901,94.4020356234097
1070,13075,95.049504950495
1073,13109,91.1262798634812
1088,13282,93.030303030303
1099,13408,88.6363636363636
1125,13699,93.8775510204082
1163,14123,92.0382165605096
1168,14178,87.905604719764
1195,14488,90.5797101449275
1219,14767,90.3726708074534
1239,15003,89.2976588628762
1259,15244,87.6750700280112
1299,15693,79.4117647058823
1399,16772,68.3333333333333
1502,17836,60.6060606060606
